Year,16 to 17,18 to 21,22 to 29,30 to 39,40 to 49,50 to 59,60 and over
2020,5.12,9.1,12.86,16.16,17.5,15.95,13.63
2019,5.0,8.9,12.57,15.93,17.28,15.75,13.64
2018,4.98,8.45,12.04,15.43,16.5,15.09,13.26
2017,4.76,8.2,11.72,15.05,15.88,15.07,13.09
2016,4.41,7.87,11.35,14.73,15.39,14.73,12.71
2015,4.0,7.55,10.99,14.43,15.11,14.33,12.39
2014,4.0,7.25,10.76,14.37,14.82,14.0,12.22
2013,4.25,7.2,10.6,14.37,14.63,13.89,12.13
2012,4.34,7.0,10.34,14.23,14.37,13.55,11.83
2011,4.15,6.88,10.19,14.01,14.07,13.33,11.48
2010,4.33,7.0,10.34,13.91,14.01,13.19,11.2
2009,4.74,7.0,10.43,13.82,13.83,12.95,10.97
2008,4.59,6.75,10.12,13.34,13.31,12.53,10.57
2007,4.46,6.6,9.8,12.77,12.77,11.87,10.09
2006,4.56,6.32,9.55,12.52,12.6,11.55,9.75
2005,4.38,6.07,9.25,11.98,12.11,11.08,9.1
2004,4.0,5.97,9.03,11.48,11.72,10.58,8.6
