Year,Confirmed cases,Recoveries,Deaths
12/17/20,167731,145397,1299
12/16/20,165897,143373,1291
12/15/20,164059,141443,1282
12/14/20,162148,139785,1273
12/13/20,160295,138464,1263
12/12/20,158334,135922,1254
12/11/20,156359,133930,1246
12/10/20,154392,132085,1238
12/09/20,152453,129950,1230
12/08/20,150602,127528,1222
12/07/20,148953,126084,1215
12/06/20,147157,124774,1207
12/05/20,145279,122339,1198
12/04/20,143383,120571,1190
12/03/20,141609,118924,1181
12/02/20,139908,117195,1174
12/01/20,138219,115587,1166
11/30/20,136647,114341,1158
11/29/20,135008,113375,1151
11/28/20,133324,111455,1143
11/27/20,131633,110152,1136
11/26/20,130012,108769,1128
11/25/20,128449,107452,1119
11/24/20,126953,105835,1112
11/23/20,125482,104698,1104
11/22/20,123999,103848,1096
11/21/20,122435,102113,1089
11/20/20,120847,100749,1081
11/19/20,119390,99584,1074
11/18/20,118008,98318,1067
11/17/20,116699,97318,1060
11/16/20,115448,96462,1053
11/15/20,114185,95843,1046
11/14/20,112870,94337,1039
11/13/20,111622,93570,1033
11/12/20,110455,92843,1027
11/11/20,109357,92266,1022
11/10/20,108300,91646,1016
11/09/20,107262,91353,1011
11/08/20,106279,90998,1007
11/07/20,105283,90058,1004
11/06/20,104286,89555,1001
11/05/20,103295,89131,998
11/04/20,102313,88901,995
11/03/20,101329,87985,992
11/02/20,100400,87400,989
11/01/20,99459,87188,985
10/31/20,98482,86663,980
10/30/20,97499,85982,977
10/29/20,96529,85332,973
10/28/20,95545,84690,969
10/27/20,94609,84237,965
10/26/20,93707,83748,961
10/25/20,92823,83237,957
10/24/20,91978,82670,953
10/23/20,91167,82136,949
10/22/20,90380,81501,945
10/21/20,89642,80905,941
10/20/20,88909,80503,937
10/19/20,88290,80130,933
10/18/20,87698,79757,929
10/17/20,87063,79429,925
10/16/20,86392,78990,921
10/15/20,85734,78583,916
10/14/20,85121,78218,911
10/13/20,84524,77797,906
10/12/20,83998,77423,901
10/11/20,83534,77220,896
10/10/20,83023,76983,891
10/09/20,82471,76543,885
10/08/20,81982,76081,880
10/07/20,81505,75683,874
10/06/20,81090,75376,868
10/05/20,80696,75303,862
10/04/20,80295,75239,857
10/03/20,79852,75148,851
10/02/20,79421,74982,844
10/01/20,79019,74777,839
09/30/20,78631,74525,833
09/29/20,78260,74320,828
09/28/20,77946,74167,822
09/27/20,77609,74120,818
09/26/20,77289,74046,813
09/25/20,76957,73925,807
09/24/20,76651,73733,802
09/23/20,76357,73564,796
09/22/20,76104,73386,791
09/21/20,75898,73301,785
09/20/20,75674,73265,780
09/19/20,75461,73212,776
09/18/20,75230,73098,773
09/17/20,74987,72967,771
09/16/20,74763,72810,767
09/15/20,74552,72661,761
09/14/20,74360,72609,756
09/13/20,74173,72584,750
09/12/20,73975,72547,744
09/11/20,73784,72369,738
09/10/20,73591,72203,732
09/09/20,73402,71999,726
09/08/20,73208,71916,721
09/07/20,73031,71883,716
09/06/20,72859,71864,711
09/05/20,72663,71843,705
09/04/20,72485,71510,701
09/03/20,72302,71205,696
09/02/20,72141,70900,691
09/01/20,71962,70606,686
08/31/20,71843,70468,681
08/30/20,71687,70452,676
08/29/20,71523,70207,671
08/28/20,71346,69887,667
08/27/20,71165,69650,662
08/26/20,70974,69378,657
08/25/20,70727,69097,652
08/24/20,70645,68925,646
08/23/20,70468,68839,642
08/22/20,70285,68577,637
08/21/20,70111,68256,632
08/20/20,69950,67929,627
08/19/20,69801,67647,622
08/18/20,69673,67339,617
08/17/20,69589,67149,613
08/16/20,69516,67072,610
08/15/20,69424,66747,607
08/14/20,69308,66452,603
08/13/20,69203,66178,599
08/12/20,69102,65893,595
08/11/20,69005,65219,592
08/09/20,68850,64935,587
08/08/20,68738,64744,585
08/07/20,68614,64200,583
08/06/20,68503,63756,580
08/05/20,68376,63425,577
08/04/20,68250,63163,574
08/03/20,68166,62943,571
08/02/20,68067,62896,567
08/01/20,67946,62686,563
07/31/20,67808,62444,559
07/30/20,67665,61765,553
07/29/20,67518,61442,548
07/28/20,67366,60669,543
07/27/20,67251,60492,538
07/26/20,67132,60425,534
07/25/20,67002,60092,530
07/24/20,66846,59755,524
07/23/20,66688,59439,519
07/22/20,66521,59061,513
07/21/20,66348,58592,507
07/20/20,66213,58290,503
07/19/20,66095,58204,499
07/18/20,65953,57856,495
