Year,Full-time,Part-time
2029*,1747,1365
2028*,1749,1362
2027*,1750,1358
2026*,1750,1354
2025*,1743,1349
2024*,1737,1344
2023*,1732,1339
2022*,1730,1334
2021*,1729,1329
2020*,1729,1323
2019*,1729,1318
2018*,1725,1311
2017,1704,1301
2016,1695,1277
2015,1684,1257
2014,1670,1244
2013,1659,1242
2012,1639,1271
2011,1642,1289
2010,1630,1307
2009,1579,1283
2008,1493,1244
2007,1429,1215
2006,1386,1188
2005,1351,1173
2004,1326,1166
2003,1281,1150
2002,1212,1143
2001,1120,1093
2000,1087,1070
1999,1050,1061
1998,1025,1045
1997,1019,1032
1996,1004,1036
1995,984,1047
1994,969,1047
1993,948,1033
1992,918,1032
1991,894,1026
1990,845,1015
1989,820,976
1988,794,944
1987,769,952
1986,767,938
1985,756,895
1984,751,873
1983,747,872
1982,737,864
1981,732,885
1980,736,886
1979,715,857
1978,705,871
1977,699,870
1976,684,894
