Month,Confirmed,Recoveries,Deaths
Dec 17,9977834,9520044,144829
Dec 10,9797065,9290300,142222
Dec 3,9571808,9015692,139227
Nov 26,9309871,8717709,135752
Nov 19,9004324,8427016,132200
Nov 12,8728624,8113902,128709
Nov 5,8411034,7764763,125029
Oct 29,8089593,7371898,121144
Oct 23,7781746,6965699,117474
Oct 16,7429233,6520011,113002
Oct 9,6964041,5966867,107140
Oct 2,6397896,5351594,99833
Sept 25,5823060,4755522,92347
Sept 18,5219211,4112233,84434
Sept 10,4566726,3542569,76336
Sept 4,3940131,3037106,68598
Aug 27,3384576,2583063,61695
Aug 19,2835822,2096068,53994
Aug 10,2217649,1536259,44499
Aug 3,1855331,1230440,38971
Jul 27,1482490,953099,33454
Jul 20,1154900,724803,28086
Jul 12,879454,554429,23182
Jul 6,720346,440209,20174
Jun 29,549035,321781,16492
Jun 22,440461,248137,14015
Jun 15,333257,169817,9524
Jun 3,207615,100303,5829
May 25,139049,57721,4024
May 24,138535,57694,4023
May 23,131442,54409,3867
May 22,124073,51307,3707
May 21,112442,45422,3438
May 20,106886,42309,3303
May 19,101261,39233,3164
May 18,96169,36824,3029
May 17,90927,34224,2872
May 16,90615,34220,2871
May 15,82103,27977,2659
May 14,78194,26400,2551
May 13,74480,24453,2415
May 12,70827,22549,2294
May 11,67259,20969,2212
May 10,62939,19358,2109
May 9,59765,17897,1986
May 8,56516,16867,1895
May 7,53045,15331,1787
May 6,49436,14183,1695
May 5,46476,12849,1571
May 4,42670,11782,1395
May 3,39980,10819,1323
May 2,37336,10007,1223
May 1,35043,9068,1154
Apr 30,33062,8437,1079
Apr 29,31332,7747,1008
Apr 28,29451,7137,939
Apr 27,27977,6523,884
Apr 26,26496,5939,825
Apr 25,26283,5939,825
Apr 24,24530,5498,780
Apr 23,21797,4376,686
Apr 22,20471,3976,652
Apr 21,18658,3273,592
Apr 20,17615,3273,559
Apr 19,17615,2854,559
Apr 18,15722,2463,521
Apr 17,13430,1768,448
Apr 16,12456,1513,423
Apr 14,10541,1205,358
Apr 13,10453,1052,358
Apr 12,9205,951,331
Apr 11,8446,840,288
Apr 10,7600,645,249
Apr 9,5916,506,178
Apr 8,5360,468,164
Apr 7,4858,382,136
Apr 6,4314,328,118
Apr 5,3588,229,99
Apr 4,3082,229,86
Apr 3,2567,192,72
Apr 2,2032,148,58
Apr 1,1590,148,45
Mar 31,1251,102,32
Mar 30,1071,100,29
Mar 29,1024,95,27
Mar 28,987,84,24
Mar 27,887,73,20
Mar 26,680,45,20
Mar 25,562,43,12
Mar 24,511,40,10
Mar 23,415,27,10
Mar 22,360,27,7
Mar 21,283,23,4
Mar 20,244,20,5
Mar 19,149,15,3
Mar 18,142,14,3
Mar 17,137,14,3
Mar 16,114,13,2
Mar 15,110,13,2
Mar 14,84,4,2
Mar 13,81,4,2
Mar 12,73,4,1
Mar 11,60,4,1
Mar 10,50,4,0
Mar 9,44,3,0
Mar 8,39,3,0
Mar 7,34,3,0
Mar 6,31,3,0
Mar 5,30,3,0
Mar 4,28,3,0
Mar 3,6,3,0
Mar 2,5,3,0
Mar 1,3,3,0
Feb 29,3,3,0
Feb 28,3,3,0
Feb 27,3,3,0
Feb 26,3,3,0
Feb 25,3,3,0
Feb 24,3,3,0
Feb 23,3,3,0
Feb 22,3,3,0
Feb 21,3,3,0
Feb 20,3,3,0
Feb 19,3,3,0
Feb 18,3,3,0
Feb 17,3,3,0
Feb 16,3,3,0
Feb 15,3,0,0
Feb 14,3,0,0
Feb 13,3,0,0
Feb 12,3,0,0
Feb 11,3,0,0
Feb 10,3,0,0
Feb 9,3,0,0
Feb 8,3,0,0
Feb 7,3,0,0
Feb 6,3,0,0
Feb 5,3,0,0
Feb 4,3,0,0
Feb 3,3,0,0
Feb 2,2,0,0
Feb 1,1,0,0
Jan 31,1,0,0
Jan 30,1,0,0
Jan 29,0,0,0
