diseases,2014,2015,2016,2017,2018
HIV/AIDS,32%,33.3%,34.4%,35.2%,36%
Tuberculosis,17.4%,18.6%,17.7%,17.3%,17%
Malaria,18.1%,18.6%,18%,17.5%,16%
Diarrhoeal diseases,5.3%,5.3%,4.5%,4.6%,4.2%
Kinetoplastida,4.4%,3.7%,4.1%,4.1%,3.7%
Bacterial pneunomia/meningitis,2.4%,3%,2.9%,2.1%,2.3%
Salmonella infections,2%,2.2%,2.9%,2.3%,2.2%
Worms and flukes,2.4%,2.5%,2.3%,2.5%,2.2%
Dengue fever,2.6%,3.3%,3.5%,2.3%,2%
"Hepatitis C (genotypes 4, 5 & 6)",-,1.1%,0.7%,0.4%,1.1%
Leprosy,0.3%,0.4%,0.3%,0.4%,0.3%
Cryptococcal meningitis,-,-,0.2%,0.3%,0.2%
Hepatitis B,-,-,-,-,0.1%
Buruli ulcer,0.1%,0.1%,0.1%,0.1%,0.1%
Trachoma,0.2%,0.2%,0.1%,0.1%,0.1%
Leptospirosis,-,-,0.1%,0.1%,0%
Rheumatic fever,0.1%,0.1%,0.1%,0.1%,0%
Mycetoma,-,-,-,-,0%
Unspecified disease,-,-,-,-,1.5%
