Year,Public,Private
2029*,3390,520
2028*,3364,516
2027*,3332,510
2026*,3307,506
2025*,3284,502
2024*,3260,498
2023*,3237,494
2022*,3217,491
2021*,3197,488
2020*,3184,486
2019*,3176,485
2018*,3157,482
2017,3170,482
2016,3169,483
2015,3151,482
2014,3132,461
2013,3114,441
2012,3109,408
2011,3103,405
2010,3099,413
2009,3210,437
2008,3222,448
2007,3200,456
2006,3166,456
2005,3143,450
2004,3091,445
2003,3049,441
2002,3034,442
2001,3000,441
2000,2941,424
1999,2911,408
1998,2830,400
1997,2746,391
1996,2667,384
1995,2598,376
1994,2552,370
1993,2504,364
1992,2459,364
1991,2432,365
1990,2398,361
1989,2357,356
1988,2323,345
1987,2279,352
1986,2244,348
1985,2206,343
1984,2168,340
1983,2139,337
1982,2133,325
1981,2127,313
1980,2184,301
1979,2185,276
1978,2207,272
1977,2209,279
1976,2189,268
1975,2198,255
1974,2165,245
1973,2136,236
1972,2106,231
1971,2063,230
1970,2059,233
1965,1710,223
1960,1408,192
1955,1141,145
