state of India,Confirmed,Active,Recovered,Deceased
Maharashtra,1884773,60905,1774255,48499
Kerala,688410,58163,627364,2735
West Bengal,530456,19597,501624,9235
Uttar Pradesh,570791,18150,544503,8138
Chhattisgarh,263485,17407,242922,3156
Karnataka,905901,15205,878696,11981
Rajasthan,295953,13647,279717,2589
Gujarat,232188,12349,215628,4211
Delhi,613357,12198,590977,10182
Madhya Pradesh,227949,12156,212351,3442
Tamil Nadu,803516,9829,781745,11942
Telangana,279644,7172,270967,1505
Haryana,255728,7013,245933,2782
Himachal Pradesh,51143,6139,44109,846
Uttarakhand,84689,6062,76223,1384
Punjab,161831,6045,150636,5150
Bihar,245398,5103,238957,1337
Andhra Pradesh,877348,4454,865825,7069
Jammu and Kashmir,117317,4327,111164,1826
Assam,215148,3523,210612,1010
Odisha,325147,2685,320584,1878
Manipur,27454,1872,25250,332
Jharkhand,112332,1629,109696,1007
Goa,49745,975,48054,716
Meghalaya,13141,686,12322,133
Chandigarh,18905,584,18017,304
Nagaland,11820,547,11071,73
Ladakh,9243,498,8622,123
Puducherry,37622,307,36693,622
Sikkim,5406,294,4896,122
Tripura,33095,291,32406,375
Arunachal Pradesh,16603,258,16290,55
Mizoram,4085,156,3922,7
Andaman and Nicobar Islands,4860,92,4707,61
Dadra and Nagar Haveli and Daman and Diu,3351,14,3306,2
