Month and year,Imports,Exports
May20,217.96,128.48
Apr20,212.68,128.96
Mar20,305.09,158.05
Feb20,283.08,125.02
Jan20,271.41,122.24
Dec19,258.79,154.2
Nov19,215.23,123.6
Oct19,242.4,144.66
Sep19,266.85,130.46
Aug19,275.33,174.47
Jul19,325.07,151.62
Jun19,298.46,155.72
May19,380.6,184.41
Apr19,303.24,213.19
Mar19,316.96,160.68
Feb19,288.6,142.13
Jan19,256.72,156.85
Dec18,261.84,150.22
Nov18,290.63,156.72
Oct18,264.25,160.24
Sep18,243.19,161.35
Aug18,306.3,157.87
Jul18,295.11,168.3
Jun18,316.26,173.34
May18,335.22,171.24
Apr18,282.17,206.66
Mar18,278.65,181.73
Feb18,242.55,178.43
Jan18,271.3,151.22
Dec17,252.26,159.29
Nov17,239.47,159.61
Oct17,273.01,149.51
Sep17,261.45,163.21
Aug17,238.96,177.68
Jul17,220.35,142.47
Jun17,206.68,167.02
May17,238.75,169.52
Apr17,203.96,158.15
Mar17,250.88,160.94
Feb17,181.0,146.3
Jan17,169.79,137.03
