year,16-24,25-29,30-34,35-44,45-54,55 and over
'19,51.2%,79.4%,80.2%,80.9%,79.2%,39.1%
'18,50.5%,78.8%,79.7%,80.4%,78.5%,38.8%
'17,50.3%,77.9%,78.8%,79.8%,77.8%,38.7%
'16,49.4%,76.7%,78.2%,79.3%,77.2%,38.5%
'15,48.6%,75.7%,77.4%,78.7%,76.6%,38.4%
'14,47.6%,74.7%,77.1%,78.3%,76%,38.2%
'13,46.5%,74%,76.4%,77.4%,75.2%,38.2%
'12,46%,74%,75.8%,77.1%,75.2%,38%
'11,45.5%,72.8%,74.9%,76.6%,75%,37.6%
'10,45%,73.1%,74.8%,76.5%,74.9%,37.4%
'09,46.9%,73.4%,75.7%,77%,75.8%,37.3%
'08,51.2%,77.7%,79.3%,80.2%,78.5%,37.9%
'07,53.1%,78.8%,80.1%,80.9%,79.4%,37.4%
'06,54.2%,78.6%,79.7%,80.9%,79.4%,36.9%
'05,53.9%,77.6%,79.5%,80.5%,78.9%,35.9%
'04,53.9%,77%,79.2%,80%,78.7%,34.9%
'03,53.9%,77%,78.7%,79.7%,78.8%,34.2%
'02,55.7%,78.1%,79.4%,80.3%,78.8%,33.2%
'01,57.7%,79.5%,80.7%,81.6%,79.8%,32.2%
'00,59.7%,81%,82%,82.2%,80.5%,31.5%
