Month,Chrome,Safari,Samsung internet,Firefox,Opera,UC Browser*,Android,Edge,Nokia,IE Mobile
Sep 20,55.25%,27.33%,13.03%,1.93%,1.01%,0.59%,0.35%,0.18%,0.04%,0.03%
Jul 20,56.39%,26.06%,13.74%,1.51%,0.96%,0.61%,0.32%,0.16%,0.03%,0.02%
May 20,54.56%,28.2%,13.71%,1.34%,0.85%,0.62%,0.33%,0.13%,0.03%,0.02%
Mar 20,54.71%,27.83%,13.85%,1.29%,0.74%,0.56%,0.57%,0.13%,0.02%,0.09%
Jan 20,54.71%,27.56%,14.13%,1.38%,0.85%,0.59%,0.42%,0.05%,0.02%,0.09%
Nov 19,55.22%,26.85%,14.17%,1.3%,0.84%,0.75%,0.43%,0.07%,0.02%,0.13%
Sep 19,54.61%,26.48%,15.03%,1.32%,0.88%,0.75%,0.46%,0.08%,0.02%,0.16%
Jul 19,49.67%,24.12%,21.94%,1.4%,0.83%,0.66%,0.84%,0.11%,0.02%,0.2%
May 19,52.55%,26.95%,15.99%,1.57%,0.88%,0.56%,0.82%,0.13%,0.02%,0.23%
Mar 19,53.11%,26.73%,15.86%,1.39%,0.76%,0.52%,0.94%,0.14%,0.02%,0.27%
Jan 19,49.56%,29.15%,17.03%,1.37%,0.74%,0.47%,0.99%,0.15%,0.02%,0.24%
Nov 18,43.08%,34.84%,16.58%,1.6%,0.88%,0.53%,1.56%,0.22%,0.03%,0.37%
Sep 18,55.61%,26.6%,12.77%,1.38%,0.79%,0.54%,1.42%,0.19%,0.03%,0.34%
Jul 18,55.75%,25.71%,13.18%,1.56%,0.73%,0.46%,1.59%,0.24%,0.03%,0.45%
May 18,52.74%,28.26%,13.42%,1.47%,0.75%,0.56%,1.71%,0.27%,0.03%,0.48%
Mar 18,50.08%,31.8%,12.87%,1.35%,0.69%,0.68%,1.52%,0.27%,0.02%,0.45%
Jan 18,49.21%,31.43%,13.56%,1.39%,0.71%,0.76%,1.79%,0.31%,0.01%,0.53%
Nov 17,47.93%,31.18%,14.43%,1.49%,0.75%,0.82%,2.11%,0.32%,0.01%,0.66%
Sep 17,47.75%,29.85%,16.27%,0.69%,0.76%,0.8%,2.42%,0.37%,0.02%,0.79%
Jul 17,49.2%,26.05%,17.52%,0.23%,0.98%,0.95%,3.23%,0.48%,0.02%,1%
May 17,46.34%,28.79%,17.69%,0.25%,0.83%,0.96%,3.28%,0.42%,0.02%,1.03%
Mar 17,45.96%,28.73%,17.27%,0.24%,0.86%,1.11%,3.79%,0.4%,0.03%,1.18%
Jan 17,45.06%,29.27%,16.96%,0.24%,0.84%,1.1%,4.38%,0.39%,0.02%,1.25%
Nov 16,44.85%,29.11%,16.34%,0.23%,0.93%,1.03%,5.06%,0.39%,0.02%,1.57%
