State,2011,2012,2013,2014,2015*,2016,2017,2018
Texas,13300,11900,11600,11100,11800,11800,12300,12500
Kansas,6300,6100,5850,5800,6000,6250,6400,6300
Nebraska,6200,6450,6400,6250,6300,6450,6450,5800
California,5150,5350,5300,5250,5150,5150,5150,5200
Oklahoma,5100,4500,4200,4300,4600,4800,5000,5100
Missouri,3950,3900,3700,3850,4000,4100,4350,4350
Iowa,3900,3900,3900,3800,3900,3950,3900,4000
South Dakota,3700,3650,3850,3700,3700,3900,3850,4000
Wisconsin,3450,3400,3500,3400,3500,3500,3550,3500
Colorado,2650,2750,2650,2550,2600,2700,2850,2850
