Year and candidate,Democrat,Republican,Federalist,Democratic-Republican,National Republican,Whig,Unaffiliated
2020: Joe Biden*,7,-,-,-,-,-,-
2016: Hillary Clinton,7,-,-,-,-,-,-
2012: Barack Obama*,7,-,-,-,-,-,-
2008: Barack Obama*,7,-,-,-,-,-,-
2004: John Kerry,7,-,-,-,-,-,-
2000: Al Gore,8,-,-,-,-,-,-
1996: Bill Clinton*,8,-,-,-,-,-,-
1992: Bill Clinton*,8,-,-,-,-,-,-
1988: George H. W. Bush*,-,8,-,-,-,-,-
1984: Ronald Reagan*,-,8,-,-,-,-,-
1980: Ronald Reagan*,-,8,-,-,-,-,-
1976: Gerald R. Ford,-,8,-,-,-,-,-
1972: Richard Nixon*,-,8,-,-,-,-,-
1968: Hubert Humphrey,8,-,-,-,-,-,-
1964: Lyndon B. Johnson*,8,-,-,-,-,-,-
1960: John F. Kennedy*,8,-,-,-,-,-,-
1956: Dwight D. Eisenhower*,-,8,-,-,-,-,-
1952: Dwight D. Eisenhower*,-,8,-,-,-,-,-
1948: Thomas E. Dewey,-,8,-,-,-,-,-
1944: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,8,-,-,-,-,-,-
1932: Herbert Hoover,-,8,-,-,-,-,-
1928: Herbert Hoover*,-,7,-,-,-,-,-
1924: Calvin Coolidge*,-,7,-,-,-,-,-
1920: Warren G. Harding*,-,7,-,-,-,-,-
1916: Charles Evans Hughes,-,7,-,-,-,-,-
1912: Woodrow Wilson*,7,-,-,-,-,-,-
1908: William Howard Taft*,-,7,-,-,-,-,-
1904: Theodore Roosevelt*,-,7,-,-,-,-,-
1900: William McKinley*,-,6,-,-,-,-,-
1896: William McKinley*,-,6,-,-,-,-,-
1892: Grover Cleveland*,6,-,-,-,-,-,-
1888: Grover Cleveland,6,-,-,-,-,-,-
1884: Grover Cleveland*,6,-,-,-,-,-,-
1880: James A. Garfield*,-,6,-,-,-,-,-
1876: Samuel J. Tilden,6,-,-,-,-,-,-
1872: Ulysses S. Grant*,-,6,-,-,-,-,-
1868: Ulysses S. Grant*,-,6,-,-,-,-,-
1864: Abraham Lincoln*,-,6,-,-,-,-,-
1860: Abraham Lincoln*,-,6,-,-,-,-,-
1856: John C. Frémont,-,6,-,-,-,-,-
1852: Franklin Pierce*,6,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,-,6,-
1844: Henry Clay,-,-,-,-,-,6,-
1840: William Henry Harrison*,-,-,-,-,-,8,-
1836: Martin Van Buren*,8,-,-,-,-,-,-
1832: Henry Clay,-,-,-,-,8,-,-
1828: John Quincy Adams,-,-,-,-,8,-,-
1824: John Quincy Adams*,-,-,-,8,-,-,-
1820: James Monroe*,-,-,-,9,-,-,-
1816: Rufus King,-,-,9,-,-,-,-
1812: DeWitt Clinton,-,-,9,-,-,-,-
1808: Charles C. Pinckney,-,-,9,-,-,-,-
1804: Charles C. Pinckney,-,-,9,-,-,-,-
1800: John Adams,-,-,9,-,-,-,-
1796: John Adams*,-,-,9,-,-,-,-
1792: George Washington*,-,-,-,-,-,-,9
1789: George Washington*,-,-,-,-,-,-,7
