Year,North America,Latin America,Western Europe,Central & Eastern Europe,Middle East & Africa,North East Asia,South East Asia & Oceania,"India, Nepal, Bhutan"
2025*,62,45,37,59,39,77,45,19
2024*,55,32,35,58,18,69,41,14
2023*,53,31,35,53,18,67,40,14
2022*,52,30,38,52,19,65,39,13
2021*,50,29,41,51,20,63,38,13
2020*,49,28,42,50,20,60,36,12
2019*,48,26,42,47,19,57,35,11
2018,47,24,40,44,18,55,33,10
2017,46,23,46,43,18,53,32,10
2016,46,21,47,45,19,50,30,9
2015,44,20,49,48,22,50,29,8
2014,41,21,54,54,23,52,28,8
2013,37,23,59,65,26,53,29,8
2012,28,23,67,69,26,52,28,8
2011,22,21,77,64,23,49,25,8
