Year,National average,White,Black,Asian,Hispanic,White non-Hispanic***
2016,56%,58.2%,55.9%,33.9%,32.5%,64.1%
2012,56.5%,57.6%,62%,31.3%,31.8%,63%
2008,58.2%,59.6%,60.8%,32.1%,31.6%,64.8%
2004,58.3%,60.3%,56.3%,29.8%,28%,65.8%
2000,54.7%,56.4%,53.5%,25.4%,27.5%,60.4%
1996,54.2%,56%,50.6%,25.7%,26.8%,59.6%
1992,61.3%,63.6%,54.1%,27.3%,28.9%,66.9%
1988,57.4%,59.1%,51.5%,-,28.8%,61.8%
1984,59.9%,61.4%,55.8%,-,32.7%,63.3%
1980,59.3%,60.9%,50.5%,-,29.9%,62.8%
1976,59.2%,60.9%,48.7%,-,31.8%,-
1972,63%,64.5%,52.1%,-,37.5%,-
1968,67.8%,69.1%,57.6%,-,-,-
1964,69.3%,70.7%,58.5%,-,-,-
