Month and year,Imports,Exports
May20,999.89,799.99
Apr20,953.37,855.9
Mar20,1312.12,895.82
Feb20,878.19,828.54
Jan20,934.34,752.16
Dec19,950.67,734.43
Nov19,926.06,865.11
Oct19,805.64,772.0
Sep19,869.66,791.28
Aug19,887.75,670.55
Jul19,993.86,607.92
Jun19,799.3,1127.14
May19,1118.99,678.85
Apr19,855.01,622.31
Mar19,791.62,704.92
Feb19,922.34,578.31
Jan19,1029.58,692.28
Dec18,947.26,813.85
Nov18,939.61,828.47
Oct18,1089.49,778.95
Sep18,993.92,924.01
Aug18,926.94,971.37
Jul18,968.0,1003.85
Jun18,873.16,1179.03
May18,1480.81,870.66
Apr18,993.71,985.5
Mar18,817.63,975.86
Feb18,837.54,952.83
Jan18,930.98,1017.74
Dec17,1034.5,1114.0
Nov17,1092.24,892.14
Oct17,1094.61,1089.1
Sep17,987.08,1034.28
Aug17,952.48,971.06
Jul17,954.64,1074.61
Jun17,1082.8,1595.47
May17,1747.04,1121.87
Apr17,835.46,1024.73
Mar17,971.09,1005.62
Feb17,748.98,835.08
Jan17,784.58,968.75
