Month and year,Imports,Exports
May20,594.41,253.56
Apr20,407.66,265.06
Mar20,385.65,301.99
Feb20,413.44,254.7
Jan20,414.42,244.09
Dec19,364.73,237.03
Nov19,388.55,241.27
Oct19,346.18,268.0
Sep19,380.73,261.63
Aug19,420.27,274.27
Jul19,416.28,283.35
Jun19,419.52,271.27
May19,492.93,289.24
Apr19,458.32,308.2
Mar19,431.91,353.55
Feb19,550.38,329.08
Jan19,458.05,407.86
Dec18,434.97,313.05
Nov18,622.77,353.71
Oct18,511.89,384.43
Sep18,541.26,324.47
Aug18,628.66,374.19
Jul18,589.64,321.34
Jun18,636.62,279.94
May18,645.7,326.39
Apr18,600.28,364.24
Mar18,575.24,384.16
Feb18,555.45,364.78
Jan18,538.05,345.33
Dec17,446.34,334.96
Nov17,596.43,328.67
Oct17,479.35,329.28
Sep17,522.22,337.42
Aug17,564.98,337.03
Jul17,459.97,281.86
Jun17,477.72,304.74
May17,494.65,320.47
Apr17,455.04,387.87
Mar17,403.96,358.41
Feb17,380.48,322.57
Jan17,361.66,366.5
