Year,East Germany,West Germany
2016,16156,66365
2015,16118,66057
2014,15974,65223
2013,15919,64848
2012,15905,64619
2011,15899,64429
2010,16326,65426
2009,16380,65422
2008,16461,65541
2007,16554,65664
2006,16648,65667
2005,16740,65698
2004,16821,65680
2003,16913,65619
2002,17009,65527
2001*,17118,65323
2000,15120,67140
1999,15217,66946
1998,15290,66747
1997,15369,66688
1996,15429,66583
1995,15476,66342
1994,15531,66007
1993,15598,65740
1992,15685,65289
1991,15790,64485
1990,16028,63726
1989,16434,62679
1988,16675,61715
1987,16661,61238
1986,16640,61140
1985,16640,61020
1984,16660,61049
1983,16701,61307
1982,16702,61546
1981,16706,61713
1980,16740,61658
1979,16740,61439
1978,16751,61322
1977,16758,61353
1976,16767,61442
1975,16820,61645
1974,16891,61991
1973,16951,62101
1972,17011,61809
1971,17054,61503
1970,17068,61001
1969,17075,61195
1968,17087,60463
1967,17090,59948
1966,17071,59793
1965,17040,59297
1964,17004,58587
1963,17181,57865
1962,17136,57247
1961,17079,56589
1960,17188,55958
1959,17286,55257
1958,17312,54719
1957,17411,54064
1956,17604,53340
1955,17832,53518
1954,18002,52943
1953,18112,52454
1952,18300,51864
1951,18350,51435
1950,18388,50958
