Year and candidate,Democrat,Republican,American Independent
2020,-,6,-
2016: Donald Trump*,-,6,-
2012: Mitt Romney,-,6,-
2008: John McCain,-,6,-
2004: George W. Bush*,-,6,-
2000: George W. Bush*,-,6,-
1996: Bill Clinton*,6,-,-
1992: Bill Clinton*,6,-,-
1988: George H. W. Bush*,-,6,-
1984: Ronald Reagan*,-,6,-
1980: Ronald Reagan*,-,6,-
1976: Jimmy Carter*,6,-,-
1972: Richard Nixon*,-,6,-
1968: George Wallace,-,-,6
1964: Lyndon B. Johnson*,6,-,-
1960: John F. Kennedy*,8,-,-
1956: Adlai Stevenson,8,-,-
1952: Adlai Stevenson,8,-,-
1948: Harry S. Truman*,9,-,-
1944: Franklin D. Roosevelt*,9,-,-
1940: Franklin D. Roosevelt*,9,-,-
1936: Franklin D. Roosevelt*,9,-,-
1932: Franklin D. Roosevelt*,9,-,-
1928: Al Smith,9,-,-
1924: John W. Davis,9,-,-
1920: James M. Cox,9,-,-
1916: Woodrow Wilson*,9,-,-
1912: Woodrow Wilson*,9,-,-
1908: William Jennings Bryan,9,-,-
1904: Alton B. Parker,9,-,-
1900: William Jennings Bryan,8,-,-
1896: William Jennings Bryan,8,-,-
1892: Grover Cleveland*,8,-,-
1888: Grover Cleveland,7,-,-
1884: Grover Cleveland*,7,-,-
1880: Winfield Hancock,6,-,-
1876: Samuel J. Tilden,6,-,-
1872: Ulysses S. Grant* /**,-,-,-
1868: Ulysses S. Grant*,-,5,-
1864: Seceded from union,-,-,-
1860: John C. Breckenridge,4,-,-
1856: James Buchanan*,4,-,-
1852: Franklin Pierce*,4,-,-
1848: Lewis Cass,3,-,-
1844: James K. Polk*,3,-,-
1840: Martin Van Buren,3,-,-
1836: Martin Van Buren*,3,-,-
