prefecture of Japan,Bed occupancy rate (%),Number of beds available for COVID-19 patients
Tokyo,26,4000
Kanagawa,13,1939
Hokkaido,12,1811
Osaka,27,1377
Saitama,22,1206
Chiba,15,1147
Aichi,17,860
Hyogo,22,663
Gifu,7,625
Kyoto,11,569
Hiroshima,2,553
Fukuoka,7,551
Ibaraki,4,546
Toyama,0,500
Fukushima,6,469
Nara,10,467
Niigata,1,456
Okinawa,43,434
Shiga,5,429
Yamaguchi,1,423
Kumamoto,11,400
Wakayama,2,400
Nagasaki,0,395
Shizuoka,9,384
Iwate,1,374
Nagano,5,350
Mie,6,349
Miyagi,38,345
Kagoshima,4,342
Oita,0,330
Tochigi,8,313
Tottori,1,313
Gunma,10,305
Yamanashi,5,285
Okayama,31,281
Saga,2,274
Ishikawa,7,258
Shimane,0,253
Miyazaki,1,246
Ehime,0,229
Akita,2,222
Yamagata,2,216
Fukui,0,215
Aomori,27,201
Kochi,1,200
Tokushima,0,200
Kagawa,1,196
