Response,2012,2013,2014,2015
"Clothing, textiles, shoes",42%,42%,44%,47%
Books,-,-,39%,46%
Toys,34%,34%,32%,33%
"Consumer electronics, media, video and audio",39%,33%,26%,31%
Gift vouchers,28%,27%,28%,31%
"Groceries, delicatessen, wine",24%,24%,23%,28%
Computers and accessories,24%,24%,22%,21%
Furniture and decorative articles,16%,16%,18%,19%
Telecommunications/mobile phones and accessories,19%,18%,18%,18%
Jewelry and watches,14%,15%,15%,17%
"DIY and home improvement products, flowers",10%,12%,11%,12%
