Year,Payroll manufacturing industries,Book and job printing,Building trades,Planing mills,Metal trades
1928,-,1.06,1.36,-,0.98
1927,-,1.06,1.35,-,0.95
1926,0.49,1.04,1.31,1.03,0.96
1925,0.49,1.01,1.23,1.03,0.92
1924,0.5,1.01,1.19,1.03,0.89
1923,0.49,0.97,1.11,0.94,0.84
1922,0.44,0.93,1.01,0.88,0.8
1921,0.47,0.93,1.08,0.95,0.86
1920,0.56,0.83,1.05,0.88,0.88
1919,0.45,0.63,0.78,0.6,0.75
1918,0.37,0.51,0.68,0.51,0.66
1917,0.3,0.47,0.62,0.46,0.5
1916,0.25,0.45,0.59,0.43,0.46
1915,0.21,0.45,0.57,0.41,0.41
1914,0.21,0.45,0.57,0.4,0.41
1913,0.21,0.44,0.56,0.4,0.41
1912,0.2,0.43,0.54,0.39,0.4
1911,0.19,0.42,0.53,0.39,0.4
1910,0.19,0.41,0.52,0.38,0.39
1909,0.18,0.4,0.51,0.37,0.37
1908,0.18,0.39,0.51,0.37,0.37
1907,0.19,0.39,0.5,0.38,0.39
1906,0.18,0.37,0.48,0.36,0.38
1905,0.17,0.36,0.45,0.35,0.37
1904,0.16,0.35,0.44,0.35,0.36
1903,0.17,0.34,0.44,0.35,0.36
1902,0.16,0.34,0.41,0.33,0.35
1901,0.15,0.33,0.39,0.32,0.34
1900,0.15,0.32,0.37,0.31,0.33
