State,Moved to a different house in the U.S.,Moved abroad
Alabama,13.7%,0.3%
Alaska,18.5%,0.9%
Arizona,17.6%,0.7%
Arkansas,15.5%,0.3%
California,13%,0.8%
Colorado,18%,0.6%
Connecticut,11.8%,0.7%
Delaware,12.8%,0.4%
District of Columbia,19.1%,1.5%
Florida,15.5%,1.2%
Georgia,14.9%,0.6%
Hawaii,12.7%,1.2%
Idaho,17%,0.4%
Illinois,12.9%,0.6%
Indiana,14.5%,0.4%
Iowa,14.6%,0.4%
Kansas,16.1%,0.4%
Kentucky,15.5%,0.4%
Louisiana,12.9%,0.3%
Maine,13.8%,0.3%
Maryland,13.7%,0.8%
Massachusetts,13.3%,1.1%
Michigan,14.2%,0.5%
Minnesota,14.2%,0.4%
Mississippi,13.4%,0.2%
Missouri,15.4%,0.4%
Montana,15%,0.4%
Nebraska,16.2%,0.6%
Nevada,18%,0.6%
New Hampshire,14.8%,0.5%
New Jersey,10.6%,0.9%
New Mexico,12.7%,0.5%
New York,10.6%,0.7%
North Carolina,14.9%,0.6%
North Dakota,18.2%,0.8%
Ohio,14.7%,0.4%
Oklahoma,17%,0.4%
Oregon,17%,0.6%
Pennsylvania,12.6%,0.5%
Rhode Island,12%,0.6%
South Carolina,14.5%,0.4%
South Dakota,15.5%,0.8%
Tennessee,14.5%,0.4%
Texas,15.7%,0.8%
U.S. Average,14.3%,0.7%
Utah,17.1%,0.8%
Vermont,13.4%,0.5%
Virginia,15.3%,0.9%
Washington,17.8%,0.9%
West Virginia,11.6%,0.2%
Wisconsin,14.4%,0.4%
Wyoming,16.1%,0.4%
