Year,Cases,Deaths
12/11/2020,6781799,179765
12/10/2020,6728452,178995
12/9/2020,6674999,178159
12/8/2020,6623911,177317
12/7/2020,6603540,176941
12/6/2020,6577177,176628
12/5/2020,6533968,175964
12/4/2020,6487084,175270
12/3/2020,6436650,174515
12/2/2020,6386787,173817
12/1/2020,6335878,173120
11/30/2020,6314740,172833
11/29/2020,6290272,172561
11/28/2020,6238350,171974
11/27/2020,6204220,171460
11/26/2020,6166606,170769
11/25/2020,6118708,170115
11/24/2020,6087608,169485
11/23/2020,6071401,169183
11/22/2020,6052786,168989
11/21/2020,6020164,168613
11/20/2020,5981767,168061
11/19/2020,5945849,167455
11/18/2020,5911758,166699
11/17/2020,5876464,166014
11/16/2020,5863093,165798
11/15/2020,5848959,165658
11/14/2020,5810652,164737
11/13/2020,5781582,164281
11/12/2020,5748375,163373
11/11/2020,5700044,162829
11/10/2020,5675032,162628
11/9/2020,5664115,162397
11/8/2020,5653561,162269
11/7/2020,5633747,162038
11/6/2020,5612319,161736
11/5/2020,5590025,161106
11/4/2020,5566049,160496
11/3/2020,5554206,160253
11/2/2020,5545705,160074
11/1/2020,5535605,159884
10/31/2020,5516658,159477
10/30/2020,5494376,158969
10/29/2020,5468270,158456
10/28/2020,5439641,157946
10/27/2020,5409854,157397
10/26/2020,5394128,157134
10/25/2020,5380635,156903
10/24/2020,5353656,156471
10/23/2020,5323630,155900
10/22/2020,5298772,155403
10/21/2020,5273954,154837
10/20/2020,5250727,154176
10/19/2020,5235344,153905
10/18/2020,5224362,153675
10/17/2020,5200300,153214
10/16/2020,5169386,152460
10/15/2020,5140863,151747
10/14/2020,5113628,150998
10/13/2020,5103408,150689
10/12/2020,5094982,150488
10/11/2020,5082637,150198
10/10/2020,5055888,149639
10/09/2020,5028444,148957
10/08/2020,5000694,148228
10/07/2020,4969141,147494
10/06/2020,4927235,146675
10/05/2020,4915289,146352
10/04/2020,4906833,145987
10/03/2020,4880523,145388
10/02/2020,4847092,144680
10/01/2020,4810935,143952
9/30/2020,4777522,142921
9/29/2020,4745464,142058
9/28/2020,4732309,141741
9/27/2020,4717991,141406
9/26/2020,4689613,140537
9/25/2020,4657702,139808
9/24/2020,4624885,138977
9/23/2020,4591604,138108
9/22/2020,4558068,137272
9/21/2020,4544629,136895
9/20/2020,4528240,136532
9/19/2020,4495183,135793
9/18/2020,4455386,134935
9/17/2020,4419083,134106
9/16/2020,4382263,133119
9/15/2020,4345610,132006
9/14/2020,4330455,131625
9/13/2020,4315687,131210
9/12/2020,4282164,130396
9/11/2020,4238446,129522
9/10/2020,4197889,128539
9/9/2020,4162073,127464
9/8/2020,4147794,126960
9/7/2020,4137521,126650
9/6/2020,4123000,126203
9/5/2020,4092832,125521
9/4/2020,4041638,124614
9/3/2020,3997865,123780
9/2/2020,3950931,122596
9/1/2020,3908272,121381
8/31/2020,3862311,120828
8/30/2020,3846153,120462
8/29/2020,3804803,119504
8/28/2020,3761391,118649
8/27/2020,3717156,117665
8/26/2020,3669995,116580
8/25/2020,3622861,115309
8/24/2020,3605783,114744
8/23/2020,3582362,114250
8/22/2020,3532330,113358
8/21/2020,3501975,112304
8/20/2020,3456652,111100
8/19/2020,3407354,109888
8/18/2020,3359570,108536
8/17/2020,3340197,107852
8/16/2020,3317096,107232
8/15/2020,3275520,106523
8/14/2020,3224876,105463
8/13/2020,3164785,104201
8/12/2020,3109630,103026
8/11/2020,3057470,101752
8/10/2020,3035422,101049
8/9/2020,3012412,100477
8/8/2020,2962442,99572
8/7/2020,2912212,98493
8/6/2020,2859073,97256
8/5/2020,2801921,95819
8/4/2020,2750318,94665
8/3/2020,2733677,94104
8/2/2020,2707877,93563
8/1/2020,2662485,92475
7/31/2020,2610102,91263
7/30/2020,2552265,90134
7/29/2020,2483191,88539
7/28/2020,2442375,87618
7/27/2020,2419091,87004
7/26/2020,2394513,86449
7/25/2020,2343366,85238
7/24/2020,2287475,84082
7/23/2020,2227514,82771
7/22/2020,2159654,81487
7/21/2020,2118646,80120
7/20/2020,2098389,79488
7/19/2020,2074860,78772
7/18/2020,2046328,77851
7/17/2020,2012151,76688
7/16/2020,1966748,75366
7/15/2020,1926824,74133
7/14/2020,1884967,72833
7/13/2020,1864681,72100
7/12/2020,1839850,71469
7/11/2020,1800827,70398
7/10/2020,1755779,69184
7/9/2020,1713160,67964
7/8/2020,1668589,66741
7/7/2020,1623284,65487
7/6/2020,1603055,64867
7/5/2020,1577004,64265
7/4/2020,1539081,63174
7/3/2020,1496858,61884
7/2/2020,1448753,60632
7/1/2020,1402041,59594
6/30/2020,1368195,58314
6/29/2020,1344143,57622
6/28/2020,1313667,57070
6/27/2020,1274974,55961
6/26/2020,1228114,54971
6/25/2020,1188631,53830
6/24/2020,1145906,52645
6/23/2020,1106470,51271
6/22/2020,1085038,50617
6/21/2020,1067579,49976
6/20/2020,1032913,48954
6/19/2020,978142,47748
6/18/2020,955377,46510
6/17/2020,923189,45241
6/16/2020,888271,43959
6/15/2020,867624,43332
6/14/2020,850514,42720
6/13/2020,828810,41828
6/12/2020,802828,40919
6/11/2020,772416,39680
6/10/2020,739503,38406
6/9/2020,707412,37134
6/8/2020,691758,36455
6/7/2020,672837,35930
6/6/2020,645762,35026
6/5/2020,614932,34021
6/4/2020,584016,32548
6/3/2020,555383,31199
6/2/2020,526447,29937
6/1/2020,514849,29314
5/31/2020,498440,28834
5/30/2020,465166,27878
5/29/2020,438238,26754
5/28/2020,411821,25598
5/27/2020,391222,24512
5/26/2020,374898,23473
5/25/2020,363211,22666
5/24/2020,347398,22013
5/23/2020,330890,21048
5/22/2020,310087,20047
5/21/2020,291579,18859
5/20/2020,271628,17971
5/19/2020,254220,16792
5/18/2020,241080,16118
5/17/2020,233142,15633
5/16/2020,218223,14817
5/15/2020,202918,13993
5/14/2020,188974,13149
5/13/2020,177589,12400
5/12/2020,168331,11519
5/11/2020,162699,11123
5/10/2020,155939,10627
5/9/2020,145328,9897
5/8/2020,135106,9146
5/7/2020,125218,8536
5/6/2020,114715,7921
5/5/2020,107780,7321
5/4/2020,101147,7025
5/3/2020,96559,6750
5/2/2020,91589,6329
5/1/2020,85380,5901
4/30/2020,78162,5466
4/29/2020,71886,5017
4/28/2020,66501,4543
4/27/2020,61888,4205
4/26/2020,58509,4016
4/25/2020,52995,3670
4/24/2020,49492,3313
4/23/2020,45757,2906
4/22/2020,43079,2741
4/21/2020,40581,2575
4/20/2020,38654,2462
4/19/2020,36599,2347
4/18/2020,33682,2141
4/17/2020,30425,1924
4/16/2020,28320,1736
4/15/2020,25262,1532
4/14/2020,23430,1328
4/13/2020,22169,1223
4/12/2020,20727,1124
4/11/2020,19638,1056
4/10/2020,17857,941
4/9/2020,15927,800
4/8/2020,13717,667
4/7/2020,12056,553
4/6/2020,11130,486
4/5/2020,10278,432
4/4/2020,9056,359
4/3/2020,7910,299
4/2/2020,6836,241
4/1/2020,5717,201
3/31/2020,4579,159
3/30/2020,4256,136
3/29/2020,3904,114
3/28/2020,3417,92
3/27/2020,2915,77
3/26/2020,2433,57
3/25/2020,2201,46
3/24/2020,1891,34
3/23/2020,1546,25
3/22/2020,1128,18
3/21/2020,904,11
3/20/2020,621,6
3/19/2020,428,4
3/18/2020,291,1
3/17/2020,234,0
3/16/2020,200,0
3/15/2020,121,0
3/14/2020,98,0
3/13/2020,77,0
3/12/2020,52,0
3/11/2020,34,0
3/10/2020,25,0
3/9/2020,25,0
3/8/2020,13,0
3/7/2020,13,0
3/6/2020,8,0
3/5/2020,3,0
3/4/2020,2,0
3/3/2020,2,0
3/2/2020,2,0
3/1/2020,2,0
2/29/2020,1,0
2/28/2020,1,0
2/27/2020,1,0
2/26/2020,1,0
