retail sectors,January,February,March,April,May,June,July,August,September,October
Total retail,4.7%,4.6%,-5.7%,-19.9%,-5.6%,1.1%,2.7%,2.6%,5.4%,8.5%
Nonstore retailers,7.9%,7.7%,14.2%,22.8%,28.4%,23.5%,24.7%,22.4%,23.8%,-1.7%
Miscellaneous store retailers,14.3%,13%,-5.7%,-31.6%,-20.8%,-7.7%,4.5%,-0.6%,3.6%,1.7%
General merchandise stores,1.7%,2.6%,7.9%,-5.9%,0%,2.5%,1.1%,0.8%,4.3%,2.5%
"Sporting goods, hobby, musical instrument, & book stores",2.5%,1.1%,-16.3%,-44.7%,-3.5%,20.6%,17.8%,11.1%,14.4%,12.4%
Clothing & clothing accessories  stores,1.8%,1%,-49.8%,-87.3%,-62.4%,-23.2%,-20.9%,-20.4%,-12.5%,-12.6%
Gasoline stations,10.5%,2.6%,-18.1%,-39.3%,-31.4%,-19.1%,-15.6%,-15.4%,-13.3%,-14%
Health & personal care stores,1%,0.1%,5.3%,-9.9%,-9%,-5.7%,3.2%,5.6%,5.3%,3.8%
Food & beverage stores,1.5%,3.8%,29.3%,12.4%,14.6%,12.4%,11.1%,10%,10.5%,10.3%
Building material & garden equipment & supplies dealers,1%,6.9%,4.7%,3.1%,18%,17.3%,14.8%,15.4%,19.1%,19.2%
Electronics & appliance stores,-0.8%,-0.2%,-11.6%,-53.1%,-36.7%,-12.7%,-2.8%,-2.4%,-6.4%,-3.9%
Furniture & home furniture stores,5.6%,4.7%,-18.3%,-58.7%,-26.8%,-3.5%,-0.7%,3.8%,4.6%,5.2%
Motor vehicle & parts dealers,6.7%,5.8%,-23.8%,-33%,-0.6%,7.5%,6.1%,4.5%,10.9%,10.7%
