consumer products,A lot less,Somewhat less,About the same,Somewhat more,A lot more
Fresh and organic goods,3%,6%,67%,18%,6%
"Vitamins, minerals, herbs, or supplements",1%,8%,72%,15%,4%
Home furniture and décor,10%,13%,61%,12%,4%
Nonmobile consumer electronics and appliances,10%,12%,64%,11%,3%
Cars/automobiles,8%,5%,67%,11%,9%
Mobile electronics,9%,12%,64%,11%,4%
Toys and games,13%,12%,63%,9%,4%
Luxury/fashion,14%,13%,63%,8%,3%
Tobacco and smoking products,16%,17%,59%,6%,3%
Outerwear/jackets/coats,11%,18%,63%,5%,3%
