leading car brands,2016,2017,2018
Renault,407930,416578,406222
Peugeot,335881,366872,389518
Citroën,195012,201374,213844
Volkswagen,143106,139360,140313
Dacia,110529,117885,140326
Toyota,77696,88662,97286
Ford,79173,84382,82633
Nissan,69072,71492,59606
Fiat,62545,68196,78226
Mercedes,62069,68007,65808
Audi,64660,65690,51582
BMW,60522,61309,57537
Opel,68281,45548,71619
KIA,33684,37235,42313
Hyundai,28043,29570,35542
Skoda,23621,26799,31423
Mini,25176,26431,27378
Seat,21648,24715,31219
DS,28081,21323,24004
