Month and year,Imports,Exports
May20,15834.42,14908.12
Apr20,16407.13,18002.79
Mar20,21302.9,24943.06
Feb20,21417.81,25973.62
Jan20,22807.34,26139.58
Dec19,22464.37,27844.39
Nov19,22243.85,26245.02
Oct19,24597.29,27125.16
Sep19,23369.71,24928.71
Aug19,26112.43,25216.29
Jul19,25197.54,25637.88
Jun19,24389.95,25194.69
May19,26631.3,26150.39
Apr19,25383.07,26007.83
Mar19,25844.27,26241.38
Feb19,22904.95,22972.77
Jan19,25626.7,24350.0
Dec18,24113.11,24061.04
Nov18,24881.53,25909.88
Oct18,28014.33,26638.84
Sep18,26956.72,24726.88
Aug18,28132.61,23488.15
Jul18,27495.6,25090.11
Jun18,26432.48,25113.13
May18,25773.78,25526.18
Apr18,24256.31,23824.77
Mar18,24658.96,23922.36
Feb18,20898.97,20596.14
Jan18,23008.86,21364.63
Dec17,22691.3,22427.3
Nov17,23122.09,21563.05
Oct17,23576.13,21894.39
Sep17,21263.77,18441.68
Aug17,21873.98,18310.66
Jul17,21457.23,18924.16
Jun17,22995.07,19459.27
May17,22808.16,19263.0
Apr17,20852.28,18655.45
Mar17,22748.96,19511.21
Feb17,19227.91,18198.54
Jan17,20672.06,18481.17
