Year,Confirmed cases,Deaths,Recoveries
22 Dec,1829903,49520,-
21 Dec,1819249,49260,-
18 Dec,1797236,48926,-
17 Dec,1785421,48777,-
16 Dec,1773290,48596,-
15 Dec,1762212,48401,-
14 Dec,1751884,48013,-
11 Dec,1730575,47624,-
10 Dec,1720056,47344,-
9 Dec,1712101,47019,-
7 Dec,1702328,46646,-
4 Dec,1684647,46252,-
3 Dec,1675902,46038,-
2 Dec,1665775,45784,-
1 Dec,1656444,45511,-
30 Nov,1648187,45069,-
27 Nov,1628208,44668,-
26 Nov,1617355,44374,-
25 Nov,1605066,44037,-
24 Nov,1594844,43668,-
23 Nov,1582616,43131,-
20 Nov,1556730,42619,-
19 Nov,1541574,42291,-
18 Nov,1525341,42039,-
17 Nov,1510023,41688,-
16 Nov,1496864,41253,-
13 Nov,1458591,40769,-
12 Nov,1437220,40461,-
11 Nov,1417709,40105,-
10 Nov,1398613,39756,-
9 Nov,1381218,39345,-
6 Nov,1328832,38833,-
5 Nov,1306316,38486,-
4 Nov,1284408,38118,-
3 Nov,1259366,36495,-
2 Nov,1240697,36257,-
30 Oct,1185678,35878,-
29 Oct,1160083,35639,-
28 Oct,1136503,35466,-
27 Oct,1116738,35298,-
26 Oct,1098320,35031,-
23 Oct,1046132,34752,-
22 Oct,1026281,34521,-
21 Oct,1005295,34366,-
20 Oct,988322,34210,-
19 Oct,974449,33992,-
16 Oct,936560,33775,-
15 Oct,921374,33553,-
14 Oct,908056,33413,-
13 Oct,896086,33204,-
12 Oct,888968,33124,-
9 Oct,861112,32929,-
8 Oct,848324,32688,-
7 Oct,835901,32562,-
6 Oct,825410,32486,-
5 Oct,813412,32225,-
2 Oct,789932,32086,-
1 Oct,778607,31973,-
30 Sep,769188,31791,-
29 Sep,758172,31614,-
28 Sep,748266,31411,-
25 Sep,716481,31232,-
24 Sep,704209,31118,-
23 Sep,693556,31034,-
22 Sep,682267,30904,-
21 Sep,671468,30663,-
18 Sep,640040,30495,-
17 Sep,625651,30405,-
16 Sep,614360,30243,-
15 Sep,603167,30004,-
14 Sep,593730,29848,-
Sep 11,566326,29747,-
Sep 10,554143,29699,-
Sep 9,543379,29628,-
Sep 8,534513,29594,-
Sep 7,525549,29516,-
Sep 4,498989,29418,-
Sep 3,488513,29264,-
Sep 2,479554,29194,-
Sep 1,470973,29152,-
Aug 31,462858,29094,-
Aug 28,439286,29011,-
Aug 27,429507,28996,-
Aug 26,419849,28971,-
Aug 25,412553,28924,-
Aug 24,405436,28872,-
Aug 21,386054,28838,-
Aug 20,377906,28813,-
Aug 19,370867,28797,-
Aug 18,364196,28670,-
Aug 17,359082,28646,-
Aug 14,342813,28617,-
Aug 13,337334,28605,-
Aug 12,329784,28579,-
Aug 11,326612,28581,-
Aug 10,322980,28576,-
Aug 7,314362,28503,-
Aug 6,309855,28500,-
Aug 5,305767,28499,-
Aug 4,302814,28498,-
Aug 3,297054,28472,-
Jul 31,288522,28445,-
Jul 30,285430,28443,-
Jul 29,282641,28441,-
Jul 28,280610,28436,-
Jul 27,278782,28434,-
Jul 24,272421,28432,-
Jul 23,270166,28429,-
Jul 22,267551,28426,-
Jul 21,266194,28424,-
Jul 20,264836,28422,-
Jul 17,260255,28420,-
Jul 16,258855,28416,-
Jul 15,257494,28413,-
Jul 14,256619,28409,-
Jul 13,255953,28406,-
Jul 10,253908,28403,-
Jul 9,253056,28401,-
Jul 8,252513,28396,-
Jul 7,252130,28392,-
Jul 6,251789,28388,-
Jul 3,250545,28385,-
Jul 2,250103,28368,-
Jul 1,249659,28363,-
Jun 30,249271,28355,-
Jun 29,248970,28346,-
Jun 28,248770,28343,-
