"leading sauces, dressings and condiments brands",2007,2008,2009,2010,2011,2012*
McCormick,6.4%,6.5%,6.6%,6.7%,6.7%,6.8%
Kraft,5.8%,5.6%,5.4%,5.1%,5.1%,5.1%
Heinz,3.7%,3.7%,3.6%,3.6%,3.6%,3.6%
Ragu,3.3%,3.4%,3.5%,3.4%,3.4%,3.3%
Hellmann's,2.8%,3.1%,3.1%,3.1%,3.2%,3.2%
Tostitos,2.6%,2.6%,2.8%,2.6%,2.6%,2.6%
Kikkoman,2.5%,2.4%,2.4%,2.5%,2.5%,2.5%
Hidden Valley,1.8%,1.8%,1.8%,1.9%,1.9%,2%
Sabra,0.5%,0.7%,0.9%,1.3%,1.6%,1.8%
Hunt's,1.9%,1.8%,1.9%,1.8%,1.8%,1.8%
Private label,11.6%,12.4%,13.2%,13.4%,13.4%,13.4%
