Year,Current projection,Mandates easing,Universal masks
31-Mar,560972,713674,505894
30-Mar,560253,712089,505441
29-Mar,559508,710443,504971
28-Mar,558739,708734,504486
27-Mar,557945,706960,503984
26-Mar,557125,705120,503466
25-Mar,556278,703213,502930
24-Mar,555405,701238,502377
23-Mar,554505,699193,501806
22-Mar,553578,697079,501217
21-Mar,552622,694893,500610
20-Mar,551638,692635,499985
19-Mar,550625,690300,499340
18-Mar,549581,687887,498675
17-Mar,548504,685392,497989
16-Mar,547394,682813,497282
15-Mar,546249,680145,496551
14-Mar,545068,677386,495796
13-Mar,543847,674532,495016
12-Mar,542588,671582,494210
11-Mar,541287,668533,493377
10-Mar,539945,665385,492517
9-Mar,538561,662136,491630
8-Mar,537133,658787,490714
7-Mar,535663,655338,489770
6-Mar,534148,651789,488798
5-Mar,532589,648139,487796
4-Mar,530985,644390,486765
3-Mar,529336,640543,485705
2-Mar,527642,636599,484614
1-Mar,525901,632560,483494
28-Feb,524115,628428,482344
27-Feb,522284,624205,481163
26-Feb,520406,619893,479952
25-Feb,518481,615494,478709
24-Feb,516509,611009,477436
23-Feb,514490,606442,476130
22-Feb,512424,601796,474793
21-Feb,510311,597076,473424
20-Feb,508153,592287,472023
19-Feb,505951,587433,470591
18-Feb,503705,582520,469128
17-Feb,501415,577552,467634
16-Feb,499081,572533,466108
15-Feb,496703,567467,464551
14-Feb,494281,562355,462960
13-Feb,491815,557202,461336
12-Feb,489304,552010,459678
11-Feb,486749,546784,457986
10-Feb,484150,541528,456260
9-Feb,481508,536246,454498
8-Feb,478822,530944,452701
7-Feb,476094,525626,450870
6-Feb,473323,520297,449003
5-Feb,470513,514963,447101
4-Feb,467662,509629,445163
3-Feb,464770,504297,443189
2-Feb,461838,498972,441177
1-Feb,458867,493660,439129
31-Jan,455858,488365,437044
30-Jan,452813,483095,434922
29-Jan,449735,477856,432765
28-Jan,446626,472654,430572
27-Jan,443488,467492,428344
26-Jan,440318,462374,426079
25-Jan,437119,457299,423777
24-Jan,433889,452270,421435
23-Jan,430629,447287,419051
22-Jan,427338,442353,416625
21-Jan,424016,437467,414151
20-Jan,420660,432626,411627
19-Jan,417272,427833,409052
18-Jan,413853,423089,406423
17-Jan,410402,418396,403739
16-Jan,406926,413761,401001
15-Jan,403427,409190,398210
14-Jan,399909,404685,395368
13-Jan,396374,400248,392473
12-Jan,392825,395879,389529
11-Jan,389265,391579,386538
10-Jan,385700,387348,383501
9-Jan,382109,383186,380391
8-Jan,378460,379096,377171
7-Jan,374751,375081,373831
6-Jan,370998,371141,370380
5-Jan,367220,367277,366835
4-Jan,363458,363489,363237
3-Jan,359753,359774,359637
2-Jan,356119,356132,356060
1-Jan,352554,352562,352524
31-Dec,349061,349065,349041
30-Dec,345638,345639,345624
29-Dec,342284,342284,342274
28-Dec,338998,338998,338992
27-Dec,335778,335778,335775
26-Dec,332624,332624,332622
25-Dec,329533,329533,329533
24-Dec,326507,326507,326507
23-Dec,323545,323545,323545
22-Dec,320646,320646,320646
21-Dec,317809,317809,317809
20-Dec,315033,315033,315033
19-Dec,312314,312314,312314
18-Dec,309648,309648,309648
17-Dec,307032,307032,307032
16-Dec,304462,304462,304462
15-Dec,301935,301935,301935
14-Dec,299450,299450,299450
13-Dec,296992,296992,296992
12-Dec,294567,294567,294567
11-Dec,292177,292177,292177
10-Dec,289824,289824,289824
9-Dec,287505,287505,287505
8-Dec,285222,285222,285222
7-Dec,282976,282976,282976
6-Dec,251159,251159,251159
5-Dec,251128,251128,251128
4-Dec,262071,262071,262071
3-Dec,259700,259700,259700
2-Dec,257212,257212,257212
1-Dec,269323,269323,269323
