Month,Goods,Services
Nov 20,219.9,403.6
Oct 20,221.0,404.6
Sep 20,220.2,407.2
Aug 20,219.5,405.9
Jul 20,219.0,410.3
Jun 20,218.6,406.9
May 20,218.0,406.2
Apr 20,217.7,406.7
Mar 20,220.2,404.2
Feb 20,219.9,402.5
Jan 20,218.3,400.6
Dec 19,219.4,402.5
Nov 19,219.6,399.4
Oct 19,218.5,399.8
Sep 19,218.9,401.0
Aug 19,218.1,405.7
Jul 19,216.8,401.3
Jun 19,218.3,399.0
May 19,218.1,397.6
Apr 19,216.9,397.4
Mar 19,217.3,388.3
Feb 19,216.8,388.1
Jan 19,214.0,386.6
Dec 18,215.8,391.8
Nov 18,216.1,387.5
Oct 18,215.1,388.9
Sep 18,215.1,388.6
Aug 18,213.9,391.3
Jul 18,212.2,387.7
Jun 18,214.0,383.8
May 18,213.8,381.6
Apr 18,212.8,380.2
Mar 18,212.4,378.0
Feb 18,212.0,377.9
Jan 18,209.2,376.6
Dec 17,210.5,381.0
Nov 17,209.7,376.0
Oct 17,208.7,376.2
Sep 17,208.4,376.2
Aug 17,206.3,379.6
Jul 17,204.9,376.7
Jun 17,206.1,373.0
May 17,206.3,370.5
Apr 17,205.5,369.4
Mar 17,205.9,365.2
Feb 17,204.4,364.8
Jan 17,201.0,362.4
Dec 16,201.5,366.6
Nov 16,201.2,362.1
Oct 16,199.8,362.4
Sep 16,199.5,362.7
Aug 16,198.0,364.9
Jul 16,197.3,362.7
Jun 16,198.4,360.2
May 16,198.2,358.1
Apr 16,197.8,356.7
Mar 16,197.8,357.2
Feb 16,197.0,355.5
Jan 16,195.6,354.2
Dec 15,197.3,357.1
Nov 15,197.9,353.7
Oct 15,198.0,353.3
Sep 15,198.3,353.4
Aug 15,198.3,354.7
Jul 15,197.4,353.0
Jun 15,199.6,350.3
May 15,199.3,349.7
Apr 15,198.9,348.9
Mar 15,198.9,347.1
Feb 15,198.0,347.1
Jan 15,196.4,346.0
Dec 14,199.6,347.1
Nov 14,199.6,345.9
Oct 14,200.5,346.2
Sep 14,200.8,345.2
Aug 14,200.0,345.8
Jul 14,199.2,344.8
Jun 14,201.0,343.1
May 14,200.8,342.6
Apr 14,200.6,342.8
Mar 14,200.6,340.4
Feb 14,199.9,340.1
Jan 14,197.6,339.2
Dec 13,199.0,339.8
Nov 13,198.6,336.5
Oct 13,198.3,336.3
Sep 13,198.8,335.5
Aug 13,197.2,336.0
Jul 13,195.7,335.3
Jun 13,196.6,333.9
May 13,197.2,333.7
Apr 13,197.0,332.7
Mar 13,196.8,331.0
Feb 13,195.6,329.7
Jan 13,192.9,328.9
Dec 12,194.0,330.0
Nov 12,194.0,326.5
Oct 12,193.9,326.2
Sep 12,193.2,323.5
Aug 12,190.8,324.5
Jul 12,189.7,323.8
Jun 12,190.5,321.8
May 12,192.3,320.9
Apr 12,192.6,320.5
Mar 12,191.4,317.5
Feb 12,189.9,317.2
Jan 12,186.7,317.3
Dec 11,188.0,319.3
Nov 11,188.1,316.1
Oct 11,187.4,315.6
Sep 11,187.7,314.7
Aug 11,186.1,312.1
Jul 11,184.7,310.5
Jun 11,186.2,309.3
May 11,186.7,308.4
Apr 11,185.5,308.0
Mar 11,183.8,304.9
Feb 11,182.3,303.7
Jan 11,179.3,302.2
Dec 10,178.4,301.8
Nov 10,177.2,298.8
Oct 10,175.6,298.5
Sep 10,175.4,297.4
Aug 10,174.1,297.7
Jul 10,173.8,295.7
Jun 10,175.1,295.1
May 10,175.3,293.2
Apr 10,174.6,292.4
Mar 10,173.0,289.4
Feb 10,171.0,288.8
Jan 10,169.3,288.6
Dec 09,169.7,288.2
Nov 09,169.1,285.2
Oct 09,168.1,285.1
Sep 09,168.1,283.8
Aug 09,166.6,284.1
Jul 09,165.7,283.2
Jun 09,166.5,281.5
May 09,165.5,282.0
Apr 09,163.7,281.1
Mar 09,163.0,280.3
Feb 09,161.9,280.6
Jan 09,159.0,279.9
Dec 08,161.1,280.4
Nov 08,162.7,279.4
Oct 08,163.9,279.1
Sep 08,165.3,278.0
Aug 08,165.1,274.2
Jul 08,165.5,271.0
Jun 08,166.7,269.6
May 08,164.3,269.0
Apr 08,162.6,267.9
Mar 08,161.4,265.2
Feb 08,160.0,264.6
Jan 08,158.8,261.9
Dec 07,160.4,261.2
Nov 07,159.3,259.9
Oct 07,158.1,259.9
Sep 07,157.7,258.4
Aug 07,156.6,258.8
Jul 07,156.2,257.8
Jun 07,158.8,257.0
May 07,157.9,256.9
Apr 07,157.0,256.8
Mar 07,156.6,255.6
Feb 07,154.9,255.4
Jan 07,153.8,254.7
Dec 06,156.1,254.1
Nov 06,154.9,253.0
Oct 06,154.4,251.9
Sep 06,155.3,249.5
Aug 06,155.2,248.8
Jul 06,154.4,248.5
Jun 06,155.4,246.8
May 06,155.0,245.7
Apr 06,153.7,244.8
Mar 06,153.6,241.3
Feb 06,153.0,240.2
Jan 06,152.1,240.0
Dec 05,153.4,239.6
Nov 05,153.1,238.6
Oct 05,153.1,238.0
Sep 05,153.4,236.9
Aug 05,152.4,236.7
Jul 05,152.1,236.6
Jun 05,152.9,235.1
May 05,152.9,234.8
Apr 05,152.7,234.1
Mar 05,152.7,231.9
Feb 05,151.4,231.5
Jan 05,150.6,231.2
Dec 04,152.4,231.1
Nov 04,152.0,229.2
Oct 04,151.8,228.6
Sep 04,151.7,227.9
Aug 04,151.2,228.2
Jul 04,151.0,227.5
Jun 04,152.6,226.1
May 04,153.1,225.6
Apr 04,152.5,225.1
Mar 04,152.4,223.4
Feb 04,152.0,223.0
Jan 04,151.4,222.3
Dec 03,152.3,221.9
Nov 03,152.2,221.0
Oct 03,152.1,221.3
Sep 03,152.3,220.9
Aug 03,151.4,220.6
Jul 03,150.9,220.2
Jun 03,151.9,219.1
May 03,152.4,218.8
Apr 03,152.3,218.4
Mar 03,152.5,216.7
Feb 03,151.3,216.4
Jan 03,150.2,216.1
Dec 02,151.2,214.9
Nov 02,151.3,214.5
Oct 02,151.2,214.1
Sep 02,151.5,213.2
Aug 02,150.5,212.2
Jul 02,150.5,211.3
Jun 02,151.6,210.7
May 02,152.3,210.2
Apr 02,152.2,209.5
Mar 02,152.1,207.3
Feb 02,151.2,207.0
Jan 02,150.7,206.6
Dec 01,151.8,205.1
Nov 01,151.5,204.7
Oct 01,152.3,204.3
Sep 01,152.9,203.5
Aug 01,152.2,202.9
Jul 01,151.8,202.2
Jun 01,154.0,201.7
May 01,153.7,201.2
Apr 01,152.1,200.4
Mar 01,151.9,198.2
Feb 01,151.0,198.0
Jan 01,150.0,197.6
Dec 00,152.2,197.1
Nov 00,152.3,196.8
Oct 00,151.7,196.4
Sep 00,152.2,195.9
Aug 00,151.0,194.8
Jul 00,151.4,194.5
Jun 00,152.9,193.9
May 00,152.6,193.5
Apr 00,152.2,193.0
Mar 00,151.2,192.8
Feb 00,150.4,192.3
Jan 00,149.6,192.1
Dec 99,151.5,191.0
Nov 99,151.1,190.8
Oct 99,151.0,190.5
Sep 99,151.5,189.4
Aug 99,150.9,188.6
Jul 99,150.6,188.2
Jun 99,151.9,187.3
May 99,152.3,187.1
Apr 99,151.8,186.7
Mar 99,151.5,185.0
Feb 99,150.3,184.6
Jan 99,149.6,184.4
Dec 98,151.0,183.8
Nov 98,150.4,183.6
Oct 98,150.4,183.4
Sep 98,150.7,182.8
Aug 98,150.1,182.1
Jul 98,149.3,181.7
Jun 98,150.6,181.4
May 98,151.0,181.2
Apr 98,149.9,180.8
Mar 98,149.3,179.0
Feb 98,148.7,178.7
Jan 98,147.5,178.4
Dec 97,148.9,177.6
Nov 97,148.7,177.4
Oct 97,148.7,177.3
Sep 97,148.8,176.6
Aug 97,148.0,176.4
Jul 97,147.0,175.9
Jun 97,147.7,175.8
May 97,147.3,175.6
Apr 97,146.7,175.2
Mar 97,146.5,173.8
Feb 97,145.9,173.6
Jan 97,145.2,173.3
Dec 96,146.0,172.5
Nov 96,145.4,172.1
Oct 96,145.3,172.0
Sep 96,145.5,171.7
Aug 96,144.5,171.2
Jul 96,143.4,171.0
Jun 96,144.8,170.4
May 96,144.8,170.0
Apr 96,144.2,169.6
Mar 96,143.6,168.3
Feb 96,142.6,168.1
Jan 96,141.5,168.0
Dec 95,142.2,167.6
Nov 95,140.9,167.4
Oct 95,140.9,167.2
Sep 95,141.5,167.6
Aug 95,140.6,167.1
Jul 95,139.5,166.7
Jun 95,140.6,166.8
May 95,140.7,166.6
Apr 95,139.6,166.3
Mar 95,139.2,164.7
Feb 95,138.1,164.6
Jan 95,137.1,164.3
Dec 94,137.3,164.1
Nov 94,136.4,163.7
Oct 94,136.2,163.7
Sep 94,136.6,163.5
Aug 94,136.3,163.2
Jul 94,135.3,162.9
Jun 94,136.6,162.7
May 94,136.8,162.5
Apr 94,136.0,162.3
Mar 94,135.7,159.2
Feb 94,135.0,159.2
Jan 94,133.8,159.1
Dec 93,134.6,158.9
Nov 93,134.1,158.7
Oct 93,134.6,158.5
Sep 93,135.0,158.2
Aug 93,134.3,157.7
Jul 93,133.6,157.4
Jun 93,134.3,156.9
May 93,134.4,156.9
Apr 93,133.8,156.7
Mar 93,132.5,153.7
Feb 93,131.4,153.3
Jan 93,130.1,153.0
Dec 92,131.5,152.0
Nov 92,131.3,152.0
Oct 92,131.2,151.8
Sep 92,130.7,151.2
Aug 92,130.3,150.8
Jul 92,130.1,150.7
Jun 92,131.1,149.9
May 92,131.2,149.5
Apr 92,130.7,149.1
Mar 92,129.7,146.0
Feb 92,128.8,145.8
Jan 92,127.9,145.5
Dec 91,128.7,144.0
Nov 91,128.6,144.0
Oct 91,128.1,143.6
Sep 91,127.6,142.5
Aug 91,127.1,141.6
Jul 91,126.4,141.2
Jun 91,127.1,139.9
May 91,126.4,139.1
Apr 91,125.5,138.0
Mar 91,121.7,133.0
Feb 91,121.2,132.6
Jan 91,120.3,132.2
Dec 90,120.8,130.6
Nov 90,121.0,130.2
Oct 90,121.1,129.8
Sep 90,120.1,128.9
Aug 90,118.8,127.9
Jul 90,117.2,127.5
Jun 90,117.7,126.3
May 90,117.5,125.4
Apr 90,116.5,124.2
Mar 90,114.6,121.6
Feb 90,113.9,121.2
Jan 90,113.2,120.6
Dec 89,112.8,119.5
Nov 89,112.6,119.3
Oct 89,112.1,118.9
Sep 89,111.2,118.3
Aug 89,110.4,117.8
Jul 89,110.2,117.6
Jun 89,110.6,116.8
May 89,110.3,116.2
Apr 89,109.7,115.6
Mar 89,108.4,113.4
Feb 89,107.8,113.2
Jan 89,107.3,113.0
Dec 88,107.1,111.5
Nov 88,106.9,111.4
Oct 88,106.5,110.8
Sep 88,106.0,110.4
Aug 88,105.5,109.9
Jul 88,105.1,109.6
Jun 88,105.3,108.8
May 88,105.0,108.1
Apr 88,104.5,107.4
Mar 88,103.7,105.4
Feb 88,103.2,105.2
Jan 88,102.8,104.8
Dec 87,103.1,104.0
Nov 87,103.0,103.9
Oct 87,102.5,103.3
Sep 87,101.9,102.9
Aug 87,101.5,102.7
Jul 87,101.2,102.5
Jun 87,101.6,102.1
May 87,101.7,101.9
Apr 87,101.3,101.5
Mar 87,100.8,100.3
Feb 87,100.5,100.2
Jan 87,100.0,100.0
