Latest available time period in brackets,Male,Female
Hungary (1999-2000),174,158
Spain (2009-10),166,139
United States (2014),166,138
Australia (2006),159,123
United Kingdom (2005),154,126
Poland (2003-04),153,124
Belgium (2005),148,124
Japan (2011),127,140
South Africa (2010),139,125
Finland (2009-10),147,111
China (2008),132,122
New Zealand (2009-10),132,118
Estonia (2009-2010),140,107
Denmark (2001),132,115
Korea (2009),125,120
Turkey (2006),126,117
Slovenia (2000-01),133,106
Norway (2010),126,108
Portugal (1999),126,103
France (2009),124,103
Canada (2010),123,99
Germany (2001-02),121,100
Austria (2008-09),117,101
Sweden (2010),124,89
Italy (2008),110,91
Netherlands (2005-06),92,84
Ireland (2005),95,76
Mexico (2009),86,71
India (1999),68,54
