Year,Germany,France,Japan,United Kingdom,United States
2019,53637.8,46480.62,38617.47,47226.09,65835.58
2018,52929.55,46256.36,38193.17,46655.52,64396.7
2017,52181.31,46162.81,38084.71,46492.68,63734.34
2016,51622.98,45610.18,37896.31,46087.96,63079.26
2015,50878.09,45087.63,37225.93,45531.61,62982.15
2014,49700.11,44650.86,37265.12,45146.29,61446.77
2013,48862.17,44345.14,37941.66,44997.75,60542.46
2012,48391.86,43975.15,37967.62,44427.81,60826.27
2011,47738.98,43681.76,38627.37,45045.48,60330.21
2010,46772.23,43749.49,37774.68,45790.01,60247.53
2009,46365.28,42878.34,37111.87,45694.63,59678.29
2008,46353.97,41556.55,37467.03,45608.21,59200.1
