Year and candidate,Democrat,Republican,Democratic Republican
2020: Donald Trump,-,10,-
2016: Donald Trump*,-,10,-
2012: Mitt Romney,-,10,-
2008: John McCain,-,11,-
2004: George W. Bush*,-,11,-
2000: George W. Bush*,-,11,-
1996: Bill Clinton*,11,-,-
1992: Bill Clinton*,11,-,-
1988: George H. W. Bush*,-,11,-
1984: Ronald Reagan*,-,11,-
1980: Ronald Reagan*,-,12,-
1976: Jimmy Carter*,12,-,-
1972: Richard Nixon*,-,12,-
1968: Richard Nixon*,-,12,-
1964: Lyndon B. Johnson*,12,-,-
1960: John F. Kennedy*,13,-,-
1956: Adlai Stevenson,13,-,-
1952: Dwight D. Eisenhower*,-,13,-
1948: Harry S. Truman*,15,-,-
1944: Franklin D. Roosevelt*,15,-,-
1940: Franklin D. Roosevelt*,15,-,-
1936: Franklin D. Roosevelt*,15,-,-
1932: Franklin D. Roosevelt*,15,-,-
1928: Herbert Hoover*,-,18,-
1924: Calvin Coolidge*,-,18,-
1920: Warren G. Harding*,-,18,-
1916: Woodrow Wilson*,18,-,-
1912: Woodrow Wilson*,18,-,-
1908: William Howard Taft*,-,18,-
1904: Theodore Roosevelt*,-,18,-
1900: William Jennings Bryan,17,-,-
1896: William Jennings Bryan,17,-,-
1892: Grover Cleveland*,17,-,-
1888: Grover Cleveland,16,-,-
1884: Grover Cleveland*,16,-,-
1880: Winfield Hancock,15,-,-
1876: Samuel J. Tilden,15,-,-
"1872**: Benjamin Gratz Brown (8), Thomas A. Hendricks (6), David Davis (1)",15,-,-
1868: Ulysses S. Grant*,-,11,-
1864: Abraham Lincoln*,-,11,-
1860: Stephen A. Douglas,9,-,-
1856: James Buchanan*,9,-,-
1852: Franklin Pierce*,9,-,-
1848: Lewis Cass,7,-,-
1844: James K. Polk*,7,-,-
1840: William Henry Harrison*,4,-,-
1836: Martin Van Buren,4,-,-
1832: Andrew Jackson*,4,-,-
1828: Andrew Jackson*,3,-,-
1824: Henry Clay,-,-,3
1820***: James Monroe*,-,-,3
