Year,Nominal,Real Terms
2019/20,881.4,881.4
2018/19,851.7,868.2
2017/18,835.1,869.4
2016/17,812.6,860.6
2015/16,793.5,860.3
2014/15,785.0,858.4
2013/14,766.8,850.2
2012/13,760.2,859.2
2011/12,745.2,859.5
2010/11,742.7,869.7
2009/10,721.0,858.8
2008/09,685.5,829.9
2007/08,628.1,779.8
2006/07,591.5,754.0
2005/06,565.3,741.0
2004/05,533.1,715.8
2003/04,493.2,681.0
2002/03,451.0,635.2
2001/02,416.9,600.9
2000/01,390.5,569.8
1999/00,367.8,547.2
1998/99,354.2,529.1
1997/98,343.3,520.7
1996/97,327.3,498.6
1995/96,322.7,511.1
1994/95,308.5,502.8
1993/94,296.4,489.4
1992/93,284.2,480.8
1991/92,262.8,456.2
1990/91,236.8,434.9
1989/90,218.2,433.6
1988/89,196.8,421.6
1987/88,190.0,433.4
1986/87,178.5,430.0
1985/86,171.3,429.7
1984/85,164.1,434.6
1983/84,153.4,429.5
1982/83,141.6,415.4
1981/82,128.2,403.6
1980/81,114.7,399.4
1979/80,95.3,395.3
1978/79,79.7,386.2
1977/78,70.2,378.3
