state of India,Red zone,Orange zone,Yellow zone,Green zone
Delhi,27.27%,72.73%,-,-
Andhra Pradesh,15.38%,53.85%,15.38%,15.38%
Maharashtra,8.33%,16.67%,55.56%,19.44%
Kerala,7.14%,14.29%,78.57%,-
Tamil Nadu,6.25%,46.88%,37.5%,9.38%
Gujarat,6.06%,9.09%,54.55%,30.3%
Rajasthan,6.06%,21.21%,48.48%,24.24%
West Bengal,4.35%,13.04%,43.48%,39.13%
Madhya Pradesh,3.92%,5.88%,41.18%,49.02%
Telangana,3.23%,22.58%,64.52%,9.68%
Uttar Pradesh,1.33%,10.67%,49.33%,38.67%
Himachal Pradesh,-,-,50%,50%
Jharkhand,-,-,25%,75%
Haryana,-,18.18%,63.64%,18.18%
Uttarakhand,-,-,46.15%,53.85%
Manipur,-,-,6.25%,93.75%
Punjab,-,13.64%,68.18%,18.18%
Puducherry,-,-,50%,50%
Andaman and Nicobar islands,-,-,66.67%,33.33%
Chandigarh,-,100%,-,-
Nagaland,-,-,9.09%,90.91%
Odisha,-,3.33%,26.67%,70%
Lakshadweep,-,-,-,100%
Tripura,-,-,12.5%,87.5%
Karnataka,-,10%,56.67%,33.33%
Meghalaya,-,-,9.09%,90.91%
Mizoram,-,-,12.5%,87.5%
Dadra and Nagar Haveli  and Daman and Diu,-,-,33.33%,66.67%
Bihar,-,2.63%,28.95%,68.42%
Goa,-,-,100%,-
Sikkim,-,-,-,100%
Arunachal Pradesh,-,-,5%,95%
Jammu and Kashmir,-,20%,55%,25%
Assam,-,-,36.36%,63.64%
Chattisgarh,-,3.7%,14.81%,81.48%
