Year,Distillate fuel oil,Motor gasoline
2019,3080.77,8931.37
2018,3118.27,8984.31
2017,2975.7,8987.62
2016,2943.55,8972.95
2015,2974.15,8834.98
2014,2927.82,8777.96
2013,2804.08,8679.23
2012,2718.65,8525.18
2011,2848.78,8591.32
2010,2763.93,8824.31
2009,2626.28,8840.73
2008,2737.97,8834.37
2007,3036.92,9092.86
2006,3016.87,9029.34
2005,2857.58,8948.24
2004,2782.52,8886.93
2003,2629.06,8732.87
2002,2536.25,8661.57
2001,2488.9,8435.2
2000,2422.45,8369.92
1999,2352.18,8336.11
1998,2263.05,8128.09
1997,2197.55,7883.05
1996,2096.36,7771.96
1995,1973.07,7674.0
1994,1896.41,7487.35
1993,1785.32,7367.25
1992,1727.95,7125.1
