Month,Confirmed,Deaths,Recovered
Dec 20,766,7,627
Dec 19,763,7,625
Dec 18,759,7,619
Dec 17,757,7,616
Dec 16,749,7,612
Dec 15,742,7,611
Dec 14,740,7,606
Dec 13,736,7,606
Dec 12,733,7,601
Dec 11,725,7,595
Dec 10,724,7,590
Dec 9,720,7,585
Dec 8,718,7,582
Dec 7,716,7,574
Dec 6,716,7,574
Dec 5,694,7,-
Dec 4,690,7,572
Dec 3,686,7,572
Dec 2,685,7,570
Dec 1,675,7,565
Nov 30,675,7,565
Nov 29,651,7,565
Nov 28,648,7,565
Nov 27,639,7,555
Nov 26,625,7,555
Nov 25,623,7,553
Nov 24,618,7,549
Nov 23,618,7,549
Nov 22,617,7,548
Nov 21,611,7,546
Nov 20,611,7,546
Nov 19,609,7,545
Nov 18,607,7,541
Nov 17,605,7,539
Nov 16,603,7,-
Nov 15,602,7,536
Nov 14,600,7,535
Nov 13,597,7,-
Nov 12,589,7,532
Nov 11,584,7,532
Nov 10,580,7,528
Nov 9,578,7,526
Nov 8,577,7,524
Nov 7,573,7,-
Nov 6,573,7,523
Nov 5,569,7,523
Nov 4,568,7,521
Nov 3,567,7,521
Nov 2,563,7,519
Nov 1,558,7,518
Oct 31,555,7,515
Oct 30,554,7,514
Oct 29,553,7,-
Oct 28,550,7,508
Oct 27,550,7,502
Oct 26,550,7,502
Oct 25,550,7,502
Oct 24,550,7,502
Oct 23,548,7,497
Oct 22,548,7,497
Oct 21,544,7,495
Oct 20,544,7,495
Oct 19,540,7,493
Oct 18,535,7,491
Oct 17,535,7,491
Oct 16,535,7,491
Oct 15,531,7,491
Oct 14,530,7,491
Oct 13,530,7,489
Oct 12,529,7,489
Oct 11,527,7,488
Oct 10,527,7,488
Oct 9,527,7,488
Oct 8,524,7,487
Oct 7,523,7,486
Oct 6,521,7,485
Oct 5,518,7,485
Oct 4,517,7,484
Oct 3,517,7,484
Oct 2,517,7,484
Oct 1,515,7,484
Sep 30,514,7,-
Sep 29,513,7,482
Sep 28,513,7,482
Sep 27,510,7,480
Sep 26,510,7,480
Sep 25,510,7,480
Sep 24,509,7,480
Sep 23,509,7,480
Sep 22,509,7,479
Sep 21,509,7,479
Sep 20,507,7,479
Sep 19,506,7,479
Sep 18,503,7,-
Sep 17,503,7,-
Sep 16,500,7,-
Sep 15,499,7,476
Sep 14,499,7,476
Sep 13,498,7,475
Sep 12,498,7,475
Sep 11,498,7,475
Sep 10,496,7,475
Sep 9,495,7,475
