Year and candidate,Democrat,Republican,Democratic-Republican,National Republican,Whig
"2020: Joe Biden* (3), Donald Trump (1)",3,1,-,-,-
"2016: Hillary Clinton (3), Donald Trump* (1)",3,1,-,-,-
2012: Barack Obama*,4,-,-,-,-
2008: Barack Obama*,4,-,-,-,-
2004: John Kerry,4,-,-,-,-
2000: Al Gore,4,-,-,-,-
1996: Bill Clinton*,4,-,-,-,-
1992: Bill Clinton*,4,-,-,-,-
1988: George H. W. Bush*,-,4,-,-,-
1984: Ronald Reagan*,-,4,-,-,-
1980: Ronald Reagan*,-,4,-,-,-
1976: Gerald R. Ford,-,4,-,-,-
1972: Richard Nixon*,-,4,-,-,-
1968: Hubert Humphrey,4,-,-,-,-
1964: Lyndon B. Johnson*,4,-,-,-,-
1960: Richard Nixon,-,5,-,-,-
1956: Dwight D. Eisenhower*,-,5,-,-,-
1952: Dwight D. Eisenhower*,-,5,-,-,-
1948: Thomas E. Dewey,-,5,-,-,-
1944: Thomas E. Dewey,-,5,-,-,-
1940: Wendell Wilkie,-,5,-,-,-
1936: Alf Landon,-,5,-,-,-
1932: Herbert Hoover,-,5,-,-,-
1928: Herbert Hoover*,-,6,-,-,-
1924: Calvin Coolidge*,-,6,-,-,-
1920: Warren G. Harding*,-,6,-,-,-
1916: Charles Evans Hughes,-,6,-,-,-
1912: Woodrow Wilson*,6,-,-,-,-
1908: William Howard Taft*,-,6,-,-,-
1904: Theodore Roosevelt*,-,6,-,-,-
1900: William McKinley*,-,6,-,-,-
1896: William McKinley*,-,6,-,-,-
1892: Benjamin Harrison,-,6,-,-,-
1888: Benjamin Harrison*,-,6,-,-,-
1884: James G. Blaine,-,6,-,-,-
1880: James A. Garfield*,-,7,-,-,-
1876: Rutherford B. Hayes*,-,7,-,-,-
1872: Ulysses S. Grant*,-,7,-,-,-
1868: Ulysses S. Grant*,-,7,-,-,-
1864: Abraham Lincoln*,-,7,-,-,-
1860: Abraham Lincoln*,-,8,-,-,-
1856: John C. Frémont,-,8,-,-,-
1852: Franklin Pierce*,8,-,-,-,-
1848: Lewis Cass,9,-,-,-,-
1844: James K. Polk*,9,-,-,-,-
1840: William Henry Harrison*,-,-,-,-,10
1836: Martin Van Buren*,10,-,-,-,-
1832: Andrew Jackson*,10,-,-,-,-
"1828: John Quincy Adams (8), Andrew Jackson* (1)",1,-,-,8,-
1824: John Quincy Adams*,-,-,9,-,-
1820: James Monroe*,-,-,9,-,-
