Month and year,Imports,Exports
May20,5268.94,2027.45
Apr20,5161.07,2016.05
Mar20,5639.64,3178.09
Feb20,4567.04,2968.62
Jan20,5288.43,2894.06
Dec19,5430.38,2511.24
Nov19,5538.95,2944.61
Oct19,6146.14,2816.64
Sep19,5245.77,2832.39
Aug19,4879.65,3294.34
Jul19,5231.5,3022.85
Jun19,5359.21,3167.68
May19,5352.44,3211.91
Apr19,5446.87,3092.41
Mar19,5377.57,3344.01
Feb19,4941.29,2888.15
Jan19,5471.29,2917.6
Dec18,4710.95,2777.72
Nov18,5189.78,3026.48
Oct18,5516.21,3385.08
Sep18,4873.71,2885.1
Aug18,5300.67,2934.48
Jul18,5306.42,3001.73
Jun18,5295.71,3352.56
May18,5436.47,3344.35
Apr18,5151.86,3093.99
Mar18,5391.8,3235.51
Feb18,4435.5,2850.33
Jan18,5142.91,2885.25
Dec17,4667.32,2947.12
Nov17,4536.54,2995.56
Oct17,5169.3,2977.49
Sep17,4342.8,2891.89
Aug17,4694.98,3062.63
Jul17,4362.54,2648.95
Jun17,4496.59,3151.1
May17,4796.89,3163.44
Apr17,4466.45,2959.46
Mar17,4803.85,3143.47
Feb17,3955.81,2764.31
Jan17,4273.71,2637.06
