Response,Total,18-34 years,35-44 years,45-54 years,55-64 years,65+ years,Male,Female
Football,52%,45%,51%,48%,59%,60%,51%,53%
Basketball,28%,22%,29%,30%,31%,29%,30%,25%
Boxing,25%,24%,25%,18%,27%,28%,27%,23%
Wrestling,23%,28%,22%,18%,20%,21%,23%,22%
Baseball,14%,12%,16%,15%,15%,15%,16%,13%
Hockey,13%,14%,13%,11%,14%,10%,12%,13%
Mixed Martial Arts,12%,14%,14%,10%,13%,9%,16%,9%
Auto Racing,9%,12%,6%,10%,7%,8%,9%,9%
Golf,3%,4%,4%,2%,3%,2%,2%,4%
Soccer,2%,1%,3%,2%,2%,1%,2%,1%
Tennis,1%,2%,2%,-,1%,-,1%,1%
Other,1%,1%,-,2%,-,1%,1%,1%
I don't associate any U.S. professional sports with negative moral values,16%,18%,16%,17%,13%,13%,15%,16%
Not sure,10%,9%,9%,13%,10%,9%,9%,11%
