Month and year,Imports,Exports
May20,1995.43,1424.33
Apr20,1969.77,1462.38
Mar20,2218.81,2041.66
Feb20,1898.16,1786.52
Jan20,2141.41,1700.1
Dec19,2200.39,1763.39
Nov19,2225.72,1911.89
Oct19,2779.16,1962.26
Sep19,2554.66,1830.11
Aug19,2654.08,1841.25
Jul19,2455.14,1742.36
Jun19,2121.38,1891.4
May19,2306.85,1942.61
Apr19,2357.32,1900.36
Mar19,2310.98,2177.16
Feb19,2194.0,1684.15
Jan19,2322.88,1737.28
Dec18,2558.58,1925.3
Nov18,2652.02,1895.58
Oct18,3309.67,1966.65
Sep18,2430.88,1866.29
Aug18,2764.2,1967.8
Jul18,2766.48,1842.25
Jun18,2563.43,2091.63
May18,2518.47,2096.43
Apr18,2236.31,1963.32
Mar18,2497.24,2061.82
Feb18,2320.31,1720.16
Jan18,2374.83,1754.2
Dec17,2710.44,1848.43
Nov17,2361.59,1888.36
Oct17,2677.59,1909.53
Sep17,2206.66,1943.78
Aug17,2481.52,1946.14
Jul17,2142.81,1900.65
Jun17,2319.15,2211.9
May17,2348.35,1898.99
Apr17,2164.98,1891.7
Mar17,2282.26,1979.8
Feb17,2012.5,1877.27
Jan17,2047.81,1731.6
