Month,Total deaths,Average deaths*
Dec 4,12303,10695
Nov 27,12456,10357
Nov 20,12535,10380
Nov 13,12254,9675
Nov 6,11812,10331
Oct 30,10887,9891
Oct 23,10739,9759
Oct 16,10534,9865
Oct 9,9954,9811
Oct 2,9945,9555
Sep 25,9634,9377
Sep 18,9523,9264
Sep 11,9811,9306
Sep 4,7739,9182
Aug 28,9032,8241
Aug 21,9631,9157
Aug 14,9392,9085
Aug 7,8945,9102
Jul 31,8946,9036
Jul 24,8891,9052
Jul 17,8823,9093
Jul 10,8690,9250
Jul 3,9140,9183
Jun 26,8979,9293
Jun 19,9339,9404
Jun 12,9976,9417
Jun 5,10709,9977
May 29,9824,8171
May 22,12288,9940
May 15,14573,10188
May 8,12657,9576
May 1,17953,9941
Apr 24,21997,10458
Apr 17,22351,10497
Apr 10,18516,10520
Apr 3,16387,10305
Mar 27,11141,10130
Mar 20,10645,10573
Mar 13,11019,11205
Mar 6,10895,11498
Feb 28,10816,11183
Feb 21,10841,11548
Feb 14,10944,11627
Feb 7,10986,11925
Jan 31,11612,12206
Jan 24,11856,12760
Jan 17,12990,13216
Jan 10,14058,13822
Jan 3,12254,12175
