Response,Less than 1 year,1-3 years,4-5 years,6-10 years,More than 10 years,Don't know / prefer not to say
Jan '18,17%,28%,12%,13%,28%,1%
Dec '17,18%,30%,12%,9%,27%,3%
Nov '17,17%,28%,14%,14%,26%,2%
Oct '17,23%,26%,12%,13%,25%,2%
Sep '17,17%,29%,11%,12%,31%,1%
Aug '17,19%,31%,11%,14%,24%,1%
Jul '17,20%,27%,11%,14%,27%,2%
Jun '17,21%,27%,12%,13%,25%,2%
May '17,18%,27%,13%,14%,27%,1%
Apr '17,21%,29%,10%,11%,27%,2%
Mar '17,18%,30%,11%,15%,24%,3%
Feb '17,18%,27%,13%,14%,26%,2%
Jan '17,21%,29%,13%,11%,24%,2%
Dec '16,17%,31%,10%,14%,24%,3%
Nov '16,16%,25%,14%,14%,28%,2%
Oct '16,18%,30%,11%,12%,27%,2%
Sep '16,20%,28%,12%,14%,24%,1%
Aug '16,18%,30%,13%,13%,24%,1%
Jul '16,23%,30%,11%,12%,22%,1%
Jun '16,19%,28%,14%,12%,26%,1%
May '16,19%,28%,11%,14%,26%,2%
Apr '16,18%,28%,13%,13%,26%,3%
Mar '16,19%,29%,12%,13%,25%,2%
Feb '16,19%,29%,13%,12%,25%,2%
