Country/International Olympic Committee,Gold,Silver,Bronze
United States,1022,795,705
"Combined Russian total (Russian Empire, Soviet Union & Russian Federation)",589,486,481
Soviet Union* **,440,357,325
"Combined German total (Germany, East Germany & West Germany)",428,444,474
Great Britain,263,295,293
China,224,167,155
Germany***,219,248,266
France,212,241,263
Italy,206,178,193
Hungary,175,147,169
East Germany*,153,129,127
Australia****,150,167,190
Russia,148,125,153
Sweden,145,170,179
Japan,142,136,161
Finland,101,85,117
South Korea,90,87,90
Romania,89,95,122
Netherlands,85,92,108
Cuba,78,68,80
Poland,68,84,132
Canada,64,102,136
West Germany*,56,67,81
Norway,56,49,47
Bulgaria,51,87,80
Switzerland,50,75,67
Czechoslovakia*,49,49,45
New Zealand****,47,27,46
Denmark,45,74,75
Spain,45,64,41
Belgium,40,53,55
Turkey,39,24,28
Ukraine,34,30,56
Greece,33,43,40
Kenya,31,38,34
Brazil,30,36,63
Yugoslavia*,28,31,31
South Africa,26,31,29
Jamaica,22,35,21
Ethiopia,22,11,21
Argentina,21,25,28
Iran,21,21,27
Austria,18,33,36
North Korea,16,16,22
Kazakhstan,15,21,27
Czechia,15,17,24
Mexico,13,24,32
Belarus,12,27,39
Croatia,11,10,12
Slovakia,9,12,7
Ireland,9,10,12
Estonia,9,9,16
Thailand,9,8,16
India,9,7,12
Georgia,8,7,17
Mixed Teams *,8,5,4
Indonesia,7,13,12
Azerbaijan,7,11,24
Egypt,7,10,15
Uzbekistan,7,6,18
Lithuania,6,6,13
Morocco,6,5,12
Bahamas,6,2,6
Colombia,5,9,14
Slovenia,5,8,10
Chinese Taipei (Taiwan),5,7,12
Algeria,5,4,8
Portugal,4,8,12
Tunisia,4,2,7
Latvia,3,11,5
Nigeria,3,10,12
Serbia,3,6,6
Trinidad and Tobago,3,5,11
Zimbabwe,3,4,1
Pakistan,3,3,4
Dominican Republic,3,2,2
Cameroon,3,1,2
Mongolia,2,10,14
Chile,2,7,4
Armenia,2,6,6
Venezuela,2,4,9
Uganda,2,3,2
Uruguay,2,2,6
Bahrain,2,1,0
Russian Empire *,1,4,3
Peru,1,3,0
Vietnam,1,3,0
Puerto Rico,1,2,6
Singapore,1,2,2
Israel,1,1,7
Independent Olympic Athletes,1,1,3
Costa Rica,1,1,2
Tajikistan,1,1,2
Hong Kong,1,1,1
Ivory Coast,1,1,1
Syria,1,1,1
Burundi,1,1,0
Ecuador,1,1,0
Grenada,1,1,0
Luxembourg,1,1,0
Panama,1,0,2
Mozambique,1,0,1
Suriname,1,0,1
United Arab Emirates,1,0,1
Fiji,1,0,0
Jordan,1,0,0
Kosovo,1,0,0
Malaysia,0,7,4
Namibia,0,4,0
Philippines,0,3,7
Moldova,0,2,3
Iceland,0,2,2
Lebanon,0,2,2
Serbia and Montenegro*,0,2,0
Sri Lanka,0,2,0
Tanzania,0,2,0
Qatar,0,1,4
Bohemia *,0,1,3
Ghana,0,1,3
Kyrgyzstan,0,1,3
Saudi Arabia,0,1,2
Haiti,0,1,1
Niger,0,1,1
Zambia,0,1,1
Botswana,0,1,0
Cyprus,0,1,0
Gabon,0,1,0
Guatemala,0,1,0
Montenegro,0,1,0
Netherlands Antilles *,0,1,0
Paraguay,0,1,0
Samoa,0,1,0
Senegal,0,1,0
Sudan,0,1,0
Tonga,0,1,0
Virgin Islands,0,1,0
Afghanistan,0,0,2
British West Indies *,0,0,2
Kuwait,0,0,2
Barbados,0,0,1
Bermuda,0,0,1
Djibouti,0,0,1
Eritrea,0,0,1
Guyana,0,0,1
Iraq,0,0,1
Macedonia,0,0,1
Mauritius,0,0,1
Togo,0,0,1
