Month,Confirmed,Deaths,Recovered
Dec 21,8237,130,6910
Dec 20,8152,130,6837
Dec 19,8078,129,6737
Dec 18,7969,129,6628
Dec 17,7899,125,6534
Dec 16,7803,123,6439
Dec 15,7721,123,6345
Dec 14,7623,120,6266
Dec 13,7541,117,6202
Dec 12,7446,115,6114
Dec 11,7377,114,5996
Dec 10,7291,114,5900
Dec 9,7179,114,5783
Dec 8,7075,112,5696
Dec 7,6975,112,5626
Dec 6,6897,112,5567
Dec 5,6802,112,-
Dec 4,6701,112,5465
Dec 3,6589,111,5423
Dec 2,6499,110,5394
Dec 1,6396,109,5361
Nov 30,6314,109,5344
Nov 29,6238,109,5340
Nov 28,6123,109,5328
Nov 27,6039,108,5313
Nov 26,5974,108,5300
Nov 25,5866,108,5295
Nov 24,5781,108,5274
Nov 23,5701,108,5267
Nov 22,5628,108,5259
Nov 21,5560,108,5248
Nov 20,5517,108,5239
Nov 19,5491,108,5233
Nov 18,5479,108,5224
Nov 17,5470,108,5212
Nov 16,5466,108,-
Nov 15,5458,108,5194
Nov 14,5450,108,-
Nov 13,5444,108,5187
Nov 12,5430,108,5170
Nov 11,5407,108,5159
Nov 10,5389,108,5153
Nov 9,5380,107,5146
Nov 8,5374,107,5144
Nov 7,5364,107,-
Nov 6,5361,107,5131
Nov 5,5355,107,5126
Nov 4,5348,106,5118
Nov 3,5345,105,5109
Nov 2,5336,105,5102
Nov 1,5330,105,5096
Oct 31,5323,105,5089
Oct 30,5320,105,5082
Oct 29,5313,105,-
Oct 28,5310,105,5063
Oct 27,5308,105,5053
Oct 26,5303,105,5050
Oct 25,5295,105,5047
Oct 24,5289,105,5041
Oct 23,5284,105,5029
Oct 22,5280,105,5019
Oct 21,5269,105,5004
Oct 20,5269,105,5004
Oct 19,5256,105,4982
Oct 18,5241,105,4973
Oct 17,5237,105,4963
Oct 16,5220,105,4951
Oct 15,5213,105,4943
Oct 14,5201,105,4932
Oct 13,5201,105,4921
Oct 12,5193,105,4921
Oct 11,5182,105,4919
Oct 10,5175,105,4914
Oct 9,5169,105,4906
Oct 8,5161,105,4890
Oct 7,5143,105,4885
Oct 6,5132,105,4875
Oct 5,5124,105,4864
Oct 4,5113,105,4861
Oct 3,5108,105,4849
Oct 2,5104,105,4843
Oct 1,5097,105,4837
Sep 30,5087,105,-
Sep 29,5079,105,4807
Sep 28,5075,105,4790
Sep 27,5065,105,4786
Sep 26,5059,105,4777
Sep 25,5058,105,4765
Sep 24,5056,104,4758
Sep 23,5049,103,-
Sep 22,5046,103,4729
Sep 21,5038,103,4717
Sep 20,5032,103,4712
Sep 19,5009,103,4708
Sep 18,4996,103,-
Sep 17,4993,102,-
Sep 16,4984,102,-
Sep 15,4975,102,4646
Sep 14,4971,101,4635
Sep 13,4957,100,4630
Sep 12,4938,100,4612
Sep 11,4925,99,4598
Sep 10,4913,99,4582
Sep 9,4901,99,4557
Sep 8,4895,99,4542
Sep 7,4889,98,4524
Sep 6,4878,96,4511
Sep 5,4857,94,4493
Sep 4,4850,94,4456
Sep 3,4838,94,4431
Sep 2,4830,93,4401
Sep 1,4822,90,4380
Aug 31,4810,89,4342
Aug 30,4810,89,4342
Aug 29,4786,87,4287
Aug 28,4768,84,4249
Aug 27,4755,81,4200
Aug 26,4734,79,4161
Auh 25,4710,78,4108
Aug 24,4691,77,4052
Aug 23,4682,77,4018
Aug 22,4657,76,3974
Aug 21,4631,75,3900
Aug 20,4604,75,3827
Aug 19,4586,72,-
Aug 18,4560,71,3677
Aug 17,4524,69,3599
Aug 16,4480,69,3549
Aug 15,4406,69,3488
Aug 14,4360,67,3392
Aug 13,4312,66,3295
Aug 12,4243,63,3189
Aug 11,4181,58,-
Aug 10,4148,55,2917
Aug 9,4079,52,2847
Aug 8,4007,47,2755
Aug 7,3938,47,2620
Aug 6,3849,46,2458
Aug 5,3754,43,-
Aug 4,3669,42,2141
Aug 3,3589,38,2037
Aug 2,3511,35,1959
Aug 1,3396,31,1858
Jul 31,3272,27,1751
Jul 30,3151,25,1660
Jul 29,3002,24,1591
Jul 28,2884,23,1527
Jul 27,2778,22,1486
Jul 26,2633,18,1495
Jul 25,2505,18,1455
Jul 24,2372,16,1407
Jul 23,2319,15,1379
Jul 22,2131,14,1344
Jul 21,2019,14,-
Jul 20,1958,12,1302
Jul 19,1885,12,1294
Jul 18,1777,12,1274
Jul 17,1713,11,1264
Jul 16,1713,10,1264
Jul 15,1588,10,1241
Jul 14,1569,8,1229
Jul 13,1521,8,1217
Jul 12,1469,7,1214
Jul 11,1431,7,1197
Jul 10,1403,7,1187
Jul 9,1365,7,1176
Jul 8,1323,7,1167
Jul 7,1299,7,1161
Jul 6,1285,7,1157
Jul 5,1268,7,1156
Jul 4,1258,7,1145
Jul 3,1247,7,1125
Jul 2,1242,7,1120
Jul 1,1233,7,1117
Jun 30,1205,7,1107
