Occupation,Women's earnings,Men's earnings
Elementary and middle school teachers,982,1148
Registered nurses,1156,1271
Secretaries and administrative assistants,753,903
"Nursing, psychiatric, and home health aides",513,558
"Managers, all other",1341,1628
Customer service representatives,680,689
First-line supervisors of retail sales workers,672,911
Cashiers,463,468
Accountants and auditors,1108,1404
First-line supervisors of office and administrative support workers,835,1050
Receptionists and information clerks,606,593
"Office clerks, general",701,670
Maids and housekeeping cleaners,457,559
Retail salespersons,543,764
Financial managers,1262,1784
Personal care aides,493,555
Social workers,897,958
Waiters and waitresses,478,551
"Bookkeeping, accounting, and auditing clerks",739,778
Education administrators,1245,1563
Secondary school teachers,1092,1226
Preschool and kindergarten teachers*,643,-
Teacher assistants,550,584
Cooks,437,518
Counselors,913,1004
