region of Kazakhstan,Cases,Recoveries,Deaths
East Kazakhstan Region,18088,13443,306
Nur-Sultan,17432,16033,348
Almaty,17344,16089,359
Atyrau Region,12343,11647,92
Karaganda Region,11602,10930,289
West Kazakhstan Region,8708,7670,154
Pavlodar Region,8071,6335,69
North Kazakhstan Region,7773,6882,41
Kostanay Region,6677,6374,29
Akmola Region,6456,5288,92
Almaty Region,6405,5559,74
Shymkent,5449,5285,78
Jambyl Region,4820,4376,61
Aktobe Region,3604,3450,39
Turkistan Region,3564,3439,46
Mangystau Region,3539,3444,55
Kyzylorda Region,3338,3281,15
