Month,Driving,Walking
Sep 30,37.06%,57%
Sep 29,33.7%,50.81%
Sep 28,54.77%,67.73%
Sep 27,56.04%,91.41%
Sep 26,63.93%,89.29%
Sep 25,47.57%,76.03%
Sep 24,46.53%,74.45%
Sep 23,45.98%,70.85%
Sep 22,43.03%,62.84%
Sep 21,53.61%,63.58%
Sep 20,56.9%,76.54%
Sep 19,69.98%,79.13%
Sep 18,61.01%,67.11%
Sep 17,52.47%,71.23%
Sep 16,51.44%,69.48%
Sep 15,47.35%,66.01%
Sep 14,55.1%,60.65%
Sep 13,59.59%,84.76%
Sep 12,69.22%,86.02%
Sep 11,54.35%,64.64%
Sep 10,49.01%,63.51%
Sep 9,51.74%,61.24%
Sep 8,52.87%,83.06%
Sep 7,63.46%,80.02%
Sep 6,59.28%,88.12%
Sep 5,74.58%,93.21%
Sep 4,61.44%,93.98%
Sep 3,62.91%,97.14%
Sep 2,72.07%,119.79%
Sep 1,94.21%,149.97%
Aug 31,89.55%,101.78%
Aug 30,89.55%,101.78%
Aug 29,83.28%,96.26%
Aug 28,97.25%,100.05%
Aug 27,86.73%,97.45%
Aug 26,81.22%,86.64%
Aug 25,81.41%,98.37%
Aug 24,76.79%,88.89%
Aug 23,75.04%,69.73%
Aug 22,77.36%,78.93%
Aug 21,94.11%,92.76%
Aug 20,83.38%,92.61%
Aug 19,79.31%,90.24%
Aug 18,79.05%,92.99%
Aug 17,78.57%,88.46%
Aug 16,77.83%,66.75%
Aug 15,78.21%,73.17%
Aug 14,89.57%,82.41%
Aug 13,75.35%,71.24%
Aug 12,75.31%,75.32%
Aug 11,78.29%,84.38%
Aug 10,79.38%,82.51%
Aug 9,79.95%,64.09%
Aug 8,79.13%,73.28%
Aug 7,92.84%,86.13%
Aug 6,81.47%,84.39%
Aug 5,77.61%,84.54%
Aug 4,77.39%,82.61%
Aug 3,74.09%,80%
Aug 2,72.61%,56.31%
Aug 1,68.75%,55.64%
Jul 31,79.47%,61.62%
Jul 30,70.77%,68.68%
Jul 29,69.14%,71.76%
Jul 28,71.68%,74.53%
Jul 27,69.88%,71.18%
Jul 26,71.52%,63.82%
Jul 25,71.8%,64.56%
Jul 24,88.1%,75.17%
Jul 23,72.88%,70.28%
Jul 22,66.74%,62.06%
Jul 21,71.48%,71.6%
Jul 20,71.66%,70.7%
Jul 19,73.52%,54.43%
Jul 18,72.75%,61.45%
Jul 17,92.13%,75.16%
Jul 16,76.67%,67.51%
Jul 15,76.6%,70.84%
Jul 14,77.51%,71.27%
Jul 13,78.59%,81.45%
Jul 12,71.35%,49.91%
Jul 11,69.69%,54.38%
Jul 10,144.69%,85.92%
Jul 9,75.36%,74.34%
Jul 8,75.49%,68.57%
Jul 7,78.43%,71.67%
Jul 6,86.93%,88.38%
Jul 5,89.74%,67.5%
Jul 4,56.1%,38.02%
Jul 3,70.7%,44.37%
Jul 2,55.89%,46.72%
Jul 1,49.63%,43.49%
Jun 30,50.72%,44.77%
Jun 29,44.54%,44.13%
Jun 28,41.66%,21.45%
Jun 27,41.45%,26.42%
Jun 26,60.44%,43.84%
Jun 25,45.85%,39.36%
Jun 24,39.91%,36.53%
Jun 23,42.59%,37.27%
Jun 22,35.98%,36.56%
Jun 21,27.52%,11.54%
Jun 20,25.53%,6.27%
Jun 19,44.01%,25.37%
Jun 18,36.5%,24.45%
Jun 17,34.79%,31.19%
Jun 16,35.28%,29.48%
Jun 15,29.21%,25.48%
Jun 14,29.73%,7.9%
Jun 13,12.66%,-2.36%
Jun 12,21.4%,0.83%
Jun 11,42.95%,14.33%
Jun 10,25.37%,10.41%
Jun 9,19.95%,11.71%
Jun 8,14.54%,8.15%
Jun 7,8.24%,-3.29%
Jun 6,5.88%,-7.14%
Jun 5,15.79%,-9.47%
Jun 4,5.53%,-10.51%
Jun 3,4.3%,-9.39%
Jun 2,2.86%,-11.66%
Jun 1,2.26%,-14.02%
May 31,-3.44%,-28.1%
May 30,-1.21%,-17.22%
May 29,6.26%,-19.47%
May 28,-1.47%,-12.77%
May 27,-3.02%,-13.22%
May 26,-5.97%,-15.4%
May 25,-8.98%,-18.63%
May 24,-15.22%,-30.97%
May 23,-16.81%,-32.55%
May 22,-8.04%,-28.48%
May 21,-14.1%,-31.1%
May 20,-13.98%,-29.65%
May 19,-14.33%,-28.93%
May 18,-16.93%,-30.87%
May 17,-21.73%,-36.63%
May 16,-21.35%,-36.09%
May 15,-12.67%,-30.23%
May 14,-18.79%,-33.43%
May 13,-20.46%,-34.48%
May 10,-33.25%,-45.46%
May 9,-36.83%,-46.49%
May 8,-23.64%,-38.93%
May 7,-26.29%,-38.64%
May 6,-28.57%,-41.3%
May 5,-29.38%,-41.79%
May 4,-33.74%,-45.25%
May 3,-37.23%,-48.72%
May 2,-36.24%,-47.14%
May 1,-32.44%,-45.97%
Apr 30,-22.22%,-41.84%
Apr 29,-29.69%,-45.88%
Apr 28,-32.81%,-47.41%
Apr 27,-35.12%,-49.03%
Apr 26,-41.5%,-53.01%
Apr 25,-41.89%,-53.1%
Apr 24,-35.72%,-49.29%
Apr 23,-38.46%,-51.05%
Apr 22,-39.39%,-52.16%
Apr 21,-39.52%,-51.67%
Apr 20,-41.38%,-52.76%
Apr 19,-49.76%,-59.84%
Apr 18,-47.85%,-56.65%
Apr 17,-39.55%,-57.72%
Apr 16,-41.57%,-54.8%
Apr 15,-40.39%,-53.48%
Apr 14,-38.57%,-53.03%
Apr 13,-40.06%,-50.19%
Apr 12,-44.08%,-56.94%
Apr 11,-44.32%,-55.38%
Apr 10,-37.23%,-50.09%
Apr 9,-40.5%,-51.45%
Apr 8,-42.46%,-53.34%
Apr 7,-42.85%,-51.99%
Apr 6,-46.83%,-57.44%
Apr 5,-52.18%,-63.31%
Apr 4,-54.02%,-61.87%
Apr 3,-50.65%,-60.53%
Apr 2,-53.83%,-63.45%
Apr 1,-52.86%,-63.55%
Mar 31,-45.9%,-59.07%
Mar 30,-40.32%,-53.97%
Mar 29,-34.65%,-46.78%
Mar 28,-23.01%,-34.49%
Mar 27,-2.53%,-12.74%
Mar 26,-4.85%,-11.77%
Mar 25,-5.57%,-9.52%
Mar 24,-5.09%,-13.34%
