Response,No,Yes
Philippines,6%,93%
Kenya,12%,88%
Venezuela,12%,88%
Chile,12%,87%
Senegal,13%,87%
Tunisia,13%,87%
Indonesia,9%,86%
Malaysia,13%,86%
Russia,15%,85%
Peru,15%,84%
Argentina,15%,83%
Mexico,16%,83%
Jordan,17%,83%
Ukraine,17%,82%
Brazil,18%,82%
Nigeria,18%,82%
Colombia,19%,81%
El Salvador,20%,80%
Vietnam,20%,80%
Tanzania,20%,79%
Nicaragua,21%,79%
Egypt,22%,78%
Thailand,23%,77%
Bangladesh,24%,76%
South Africa,25%,74%
Uganda,25%,74%
Ghana,27%,72%
Lebanon,32%,68%
India,28%,65%
Poland,38%,62%
China,40%,58%
Median,18%,82%
