Year,Men,Women
Rio 2016,9.81,10.71
London 2012,9.63,10.75
Beijing 2008,9.69,10.78
Athens 2004,9.85,10.93
Sydney 2000***,9.87,-
Atlanta 1996,9.84,10.94
Barcelona 1992,9.96,10.82
Seoul 1988* **,9.92,10.54
Los Angeles 1984,9.99,10.97
Moscow 1980,10.25,11.06
Montreal 1976,10.06,11.08
Munich 1972,10.14,11.07
Mexico City 1968,9.95,11
Tokyo 1964,10.0,11.4
Rome 1960,10.2,11
Melbourne 1956,10.5,11.5
Helsinki 1952,10.4,11.5
London 1948,10.3,11.9
Berlin 1936,10.3,11.5
Los Angeles 1932,10.3,11.9
Amsterdam 1928,10.8,12.2
Paris 1924,10.6,-
Antwerp 1920,10.8,-
Stockholm 1912,10.8,-
London 1908,10.8,-
St. Louis 1904,11.0,-
Paris 1900,11.0,-
Athens 1896,12.0,-
