Month,GoEasy 95 E10,GoEasy 95 Extra E5,GoEasy Diesel,GoEasy Diesel Extra
Jan 1,11.59,12.18,10.59,11.18
Jan 2,11.69,12.28,-,-
Jan 3,11.79,12.38,10.79,11.38
Jan 7,11.69,12.28,-,-
Jan 9,11.46,12.38,10.69,11.28
Jan 10,-,-,10.59,11.18
Jan 14,11.36,12.28,10.49,11.08
Jan 17,-,-,10.29,10.88
Jan 20,11.46,12.38,-,-
Jan 21,11.59,-,-,-
Jan 23,11.49,12.28,10.19,10.78
Jan 24,11.39,12.18,-,-
Jan 27,11.29,12.08,9.99,10.58
Jan 29,11.19,11.98,-,-
Jan 31,-,-,9.89,10.48
Feb 4,10.99,11.78,9.69,10.28
Feb 6,11.09,11.88,9.79,10.38
Feb 7,10.99,11.78,-,-
Feb 10,11.09,11.88,-,-
Feb 12,10.99,11.78,-,-
Feb 14,11.09,11.88,9.89,10.48
Feb 18,11.19,11.98,-,-
Feb 19,-,-,9.79,10.38
Feb 20,11.29,12.08,9.89,10.48
Feb 24,11.19,11.98,-,-
Feb 26,11.09,11.88,9.79,10.38
Feb 27,10.99,11.88,9.69,10.28
Feb 28,10.89,11.78,9.59,10.18
Mar 2,10.69,11.58,9.49,10.08
Mar 4,-,-,9.59,10.18
Mar 5,10.79,11.68,-,-
Mar 6,10.69,11.58,-,-
Mar 9,10.39,11.28,9.29,9.88
Mar 10,10.19,11.08,9.09,9.68
Mar 11,11.44,12.32,10.29,10.88
Mar 12,11.29,12.17,10.19,10.78
Mar 13,11.19,12.08,-,-
Mar 14,10.99,11.88,10.09,-
Mar 17,10.79,11.68,9.99,10.68
Mar 18,10.59,11.48,9.89,10.58
Mar 19,9.39,10.28,8.69,9.38
Mar 20,9.29,10.18,-,-
Mar 23,9.39,10.28,8.79,9.48
Mar 24,9.19,10.08,8.69,9.38
Mar 25,9.09,9.98,-,-
Mar 26,8.99,9.88,-,-
Mar 27,9.19,10.08,-,-
Mar 30,9.09,9.98,-,-
Mar 31,9.19,10.08,8.59,9.28
Apr 1,8.99,9.88,8.39,9.08
Apr 3,8.89,9.78,8.29,8.98
Apr 6,8.99,9.88,8.39,9.08
Apr 7,8.89,9.78,-,-
Apr 8,8.99,9.88,-,-
