Response,Great deal,Quite a lot,Some,Very little,None,No opinion
The military,40%,32%,20%,8%,1%,0%
Small business,38%,37%,19%,6%,0%,0%
The church or organized religion,25%,17%,31%,23%,3%,1%
The police,23%,25%,33%,17%,2%,0%
The presidency,22%,17%,23%,32%,5%,1%
The medical system,22%,29%,32%,16%,1%,0%
The U.S. Supreme Court,18%,22%,41%,17%,1%,1%
Public schools,18%,23%,36%,20%,2%,1%
Banks,17%,21%,43%,18%,1%,0%
Large technology companies,14%,18%,43%,21%,3%,1%
Organized labor,13%,18%,45%,21%,1%,2%
Newspapers,10%,14%,36%,35%,4%,1%
The criminal justice system,10%,14%,40%,33%,3%,0%
Television news,9%,9%,33%,43%,6%,0%
Big business,7%,12%,45%,33%,3%,1%
Congress,6%,7%,42%,41%,4%,0%
