Year,Prussia,Bavaria*,Württemberg,German Empire,Austria
1899,-,-,-,0.5,-
1898,0.4,0.3,0,0.3,-
1897,0.2,0,0,0.1,61
1896,0.2,0.2,0,0.2,36
1895,0.8,0.2,0,0.5,49
1894,2.5,0.3,0,1.7,105
1893,4.4,0.7,1,3.1,244
1892,3,0.5,0,2.1,256
1891,1.2,1.2,0,1,287
1890,1.2,1.5,0,1.2,249
1889,5.4,5.2,0,4.1,537
1888,2.9,3.8,0.5,2.3,615
1887,5,1.8,0,3.5,417
1886,4.9,1,1,4.2,400
1885,14,3,0,-,600
1884,14.4,1,11.6,-,530
1883,19.6,6,35.2,-,596
1882,36.4,12,6.6,-,947
1881,36.2,15,3.6,-,807
1880,26,12,5.6,-,674
1879,12.6,5,0,-,534
1878,7.1,13,0,-,631
1877,3.4,17,2,-,555
1876,31,13,1,-,406
1875,36,17,3,-,576
1874**,95,47,3,-,1725
1873,356,176,30,-,3094
1872,2624,611,637,-,1866
1871,2432,1045,1130,-,383
1870,175,185,293,-,293
1869,194,75,74,-,374
1868,188,101,19,-,370
1867,432,190,63,-,484
1866,620,250,133,-,368
1865,438,120,-,-,228
1864,463,46,-,-,364
1863,338,23,-,-,352
1862,211,23,-,-,333
1861,302,26,-,-,243
1860,190,16,-,-,269
1859,196,28,-,-,262
1858,264,32,-,-,218
1857,133,69,-,-,123
1856,73,34,-,-,164
1855,97,107,-,-,476
1854,436,66,-,-,284
1853,395,129,-,-,238
1852,189,103,-,-,116
1851,130,132,-,-,111
1850,157,106,-,-,161
1849,108,238,-,-,293
1848,137,131,-,-,215
1847,95,50,-,-,160
1846,153,28,-,-,-
1845,159,32,-,-,-
1844,270,55,-,-,-
