State,2019,2025
Alabama,96.0,110
Alaska,8.5,11
Arizona,150.0,200
Arkansas,58.0,67
California,690.0,840
Colorado,76.0,92
Connecticut,80.0,91
Delaware,19.0,23
District of Columbia,8.9,9
Florida,580.0,720
Georgia,150.0,190
Hawaii,29.0,35
Idaho,27.0,33
Illinois,230.0,260
Indiana,110.0,130
Iowa,66.0,73
Kansas,55.0,62
Kentucky,75.0,86
Louisiana,92.0,110
Maine,29.0,35
Maryland,110.0,130
Massachusetts,130.0,150
Michigan,190.0,220
Minnesota,99.0,120
Mississippi,57.0,65
Missouri,120.0,130
Montana,22.0,27
Nebraska,35.0,40
Nevada,49.0,64
New Hampshire,26.0,32
New Jersey,190.0,210
New Mexico,43.0,53
New York,410.0,460
North Carolina,180.0,210
North Dakota,15.0,16
Ohio,220.0,250
Oklahoma,67.0,76
Oregon,69.0,84
Pennsylvania,280.0,320
Rhode Island,24.0,27
South Carolina,95.0,120
South Dakota,18.0,20
Tennessee,120.0,140
Texas,400.0,490
Utah,34.0,42
Vermont,13.0,17
Virginia,150.0,190
Washington,120.0,140
West Virginia,39.0,44
Wisconsin,120.0,130
Wyoming,10.0,13
