Month and year,Imports,Exports
May20,6323.98,2584.35
Apr20,6383.71,2683.47
Mar20,7453.02,3497.81
Feb20,6833.95,3190.19
Jan20,7505.12,3200.92
Dec19,7362.77,3273.11
Nov19,7262.93,3383.84
Oct19,7437.24,3507.94
Sep19,6856.22,3406.58
Aug19,7485.89,3655.54
Jul19,7722.28,3208.65
Jun19,7697.77,3782.11
May19,8360.08,3875.45
Apr19,8158.36,3687.15
Mar19,7699.77,4198.11
Feb19,7052.67,3326.56
Jan19,6904.97,3361.38
Dec18,6939.43,3622.56
Nov18,7512.0,3276.95
Oct18,8021.54,3760.04
Sep18,6563.08,3414.94
Aug18,7502.8,3722.03
Jul18,7501.52,3513.23
Jun18,7461.54,3647.66
May18,7687.39,3674.96
Apr18,6921.88,3640.92
Mar18,7914.52,3654.25
Feb18,6703.56,3316.2
Jan18,7846.59,3243.83
Dec17,6890.7,3224.1
Nov17,6703.9,3274.15
Oct17,7837.63,3491.56
Sep17,6717.48,3590.08
Aug17,7357.18,3464.11
Jul17,6812.92,3064.79
Jun17,7221.73,3259.96
May17,7033.21,3381.18
Apr17,6543.74,3333.44
Mar17,7064.94,3592.97
Feb17,6089.28,2969.14
Jan17,7040.15,2922.8
