Response,A few more days,1-2 weeks,3-4 weeks,2-3 months,4-5 months,6 months,Up to a year,Longer than a year
All,1%,6%,21%,41%,11%,10%,6%,4%
Australia,1%,3%,7%,23%,14%,27%,17%,10%
Brazil,3%,5%,14%,35%,18%,13%,8%,5%
China,1%,9%,29%,48%,6%,6%,1%,1%
France,1%,3%,23%,50%,12%,7%,3%,2%
Germany,1%,3%,11%,27%,14%,14%,17%,14%
Italy,1%,2%,14%,43%,16%,11%,10%,4%
Japan,1%,2%,7%,30%,18%,18%,13%,12%
Philippines,1%,2%,18%,40%,14%,13%,9%,2%
Singapore,2%,1%,2%,15%,10%,24%,32%,13%
South Africa,1%,2%,11%,25%,13%,18%,19%,12%
Spain,0%,1%,18%,49%,16%,8%,4%,3%
United Kingdom,2%,2%,8%,24%,13%,18%,22%,12%
United States,2%,7%,13%,31%,19%,13%,9%,7%
