Year,Residential,Commercial,Industrial,Transportation,Electric power*
2019,7.01,4.79,23.15,28.21,37.1
2018,6.96,4.78,22.92,28.38,38.17
2017,6.09,4.37,22.06,27.94,37.24
2016,6.03,4.32,21.55,27.71,37.73
2015,6.47,4.44,21.42,27.16,37.89
2014,7.01,4.39,21.46,26.79,38.63
2013,6.69,4.16,21.38,26.54,38.36
2012,5.68,3.72,20.79,26.05,38.13
2011,6.47,4.06,20.49,26.52,39.29
2010,6.64,4.02,20.33,26.9,39.62
2005,6.9,4.05,21.34,28.18,39.63
2000,7.16,4.28,22.75,26.46,38.06
1995,6.94,4.1,22.66,23.76,33.48
1990,6.56,3.9,21.12,22.37,30.5
1985,7.15,3.73,19.38,20.04,26.03
1980,7.44,4.11,22.55,19.66,24.27
1975,7.99,4.06,21.4,18.21,20.27
