Year,QinetiQ Group PLC,Babcock International Group PLC,BAE Systems PLC,Ferrovial SA,Leonardo SpA,Rolls-Royce Holdings PLC,General Dynamics Corporation,Lockheed Martin Corporation,Airbus Group SE,The Boeing Company
2019/20,60.3%,50.2%,20%,13.7%,6.2%,5.4%,2.3%,1.7%,1.5%,1%
2018/19,58.4%,41.7%,20.1%,11.9%,6.2%,5.6%,2.5%,2.1%,1.5%,0.6%
2017/18,62%,38.4%,19.1%,5.5%,9.7%,5.4%,1.8%,2%,1.6%,0.5%
2016/17,61.7%,37.2%,20.5%,2.4%,5.8%,5.1%,1.9%,2%,1.5%,0.5%
2015/16,67.9%,37.2%,21.9%,2.1%,7.8%,6%,1.3%,2%,1.6%,0.8%
2014/15,68.6%,37.2%,22.8%,2.1%,8%,5.5%,1.8%,2.6%,1.9%,0.9%
2013/14**,60%,39.5%,20.6%,1.1%,7.8%,5.2%,1.5%,2.4%,1.8%,0.9%
2012/13,33.8%,44%,20.2%,-,6.8%,4.8%,1.8%,2.3%,1.4%,1%
2011/12,29.3%,43.8%,17.4%,-,6%,6.1%,2.3%,2.3%,1.8%,0.8%
2010/11,27.7%,49%,15.6%,-,6.1%,4.9%,1.7%,2.1%,1.4%,0.9%
2009/10,35.2%,46.7%,19.2%,-,5.9%,5.7%,1.2%,2.1%,1.4%,0.5%
2008/09,35.1%,48.1%,19.5%,-,7.8%,5.6%,1.6%,2.5%,1.4%,0.8%
2007/08,41.2%,57.4%,20.6%,-,9.1%,6.3%,1.8%,3.5%,1.5%,1.2%
2006/07,47.7%,42%,22.1%,-,7.9%,5.2%,-,1.9%,1.2%,0.5%
2005/06,58.7%,47.6%,22.2%,-,7%,5.8%,-,1.9%,1.4%,0.3%
