Month,Patients with symptoms,Need inpatient treatment,Already discharged from hospital/end of medical treatment,Number of deaths
February 12,25,15,10,0
February 17,47,30,16,1
February 21,79,58,20,1
February 25,139,115,23,1
February 29,208,166,34,5
March 2,232,192,34,6
March 6,313,248,59,6
March 10,457,362,86,9
March 13,602,468,115,19
March 16,713,550,139,24
March 17,728,556,144,28
March 18,769,579,161,29
March 19,805,590,184,31
March 20,840,614,193,33
March 21,882,650,198,35
March 22,922,652,235,36
March 23,960,674,247,41
March 24,996,693,263,42
March 25,1055,743,272,43
March 26,1140,774,320,45
March 27,1212,837,331,46
March 28,1277,978,404,49
March 29*,1378,1217,424,52
March 30,1446,1388,424,54
March 31,1494,1473,424,56
Aptil 1,1623,1649,472,57
April 2,1723,1816,505,60
April 3,1838,2040,514,63
April 4,2051,2291,575,69
April 5,2239,2617,584,70
April 6,2429,2989,592,73
April 7,2586,3204,622,80
April 8,2806,3544,632,81
April 9,3109,3998,685,85
April 10,3485,4545,714,88
April 11,3914,5149,762,94
April 12,4302,5866,784,98
April 13,4552,6354,799,102
April 14,4794,6683,853,109
April 15,5036,7080,901,119
April 16,5354,7511,935,136
April 17,5738,8007,1012,148
April 18,6056,8572,1069,154
April 19,6353,9041,1159,161
April 20,6656,9341,1239,171
April 21,6869,9577,1356,186
April 22,7096,9869,2040,277
April 23,7315,10212,2408,287
April 24,7577,10600,2536,317
April 25,7787,10932,2662,334
April 26,7941,11180,2815,348
April 27,8097,11311,2905,351
April 28,8223,11389,3187,376
April 29,8352,11567,3374,389
April 30,8515,11727,3466,415
May 1,8642,11568,3981,432
May 2,8729,11702,4211,458
May 3,8848,11869,4385,492
May 4,8967,11968,4496,510
May 5,9053,12080,4587,521
May 6,9118,11876,4918,543
May 7,9200,11784,5146,551
May 8**,9270,11434,5906,557
May 9***,-,6451,8127,600
May 10,-,6399,8293,613
May 11,-,6225,8531,621
May 12,-,6065,8920,643
May 13,-,5315,9868,668
May 14,-,4886,10338,687
May 15,-,4493,10809,710
May 16,-,4179,11153,725
May 17,-,3943,11415,744
May 18,-,3823,11564,749
May 19,-,3566,11884,763
May 20,-,3165,12286,771
May 21,-,2917,12672,777
May 22,-,2652,13005,796
May 23,-,2450,13244,808
May 24,-,2287,13413,820
May 25,-,2121,13612,830
May 26,-,1950,13810,846
May 27,-,1803,13973,858
May 28,-,1654,14147,867
May 29,-,1574,14254,874
May 30,-,1494,14406,886
May 31,-,1484,14459,891
June 1,-,1472,14502,892
June 2,-,1378,14650,894
June 3,-,1308,14771,900
June 4,-,1241,14867,903
June 5,-,1178,14972,907
June 6,-,1103,15079,914
June 7,-,1082,15139,916
June 8,-,1106,15148,916
June 9,-,1074,15213,916
June 10,-,1026,15298,919
June 11,-,981,15383,920
June 12,-,911,15493,922
June 13,-,872,15580,924
June 14,-,859,15643,925
June 15,-,890,15686,925
June 16,-,954,15701,927
June 17,-,845,15850,931
June 18,-,800,15930,935
June 19,-,794,16008,935
June 20,-,767,16077,952
June 21,-,801,16108,953
June 22,-,829,16133,953
June 23,-,798,16212,955
June 24,-,794,16263,963
June 25,-,816,16320,968
June 26,-,833,16392,969
June 27,-,869,16452,971
June 28,-,906,16505,971
June 29,-,939,16557,972
June 30,-,984,16631,972
July 1,-,1016,16731,974
July 2,-,1125,16772,975
July 3,-,1223,16866,976
July 4,-,1343,16959,977
July 5,-,1511,17050,977
July 6,-,1687,17124,977
July 7,-,1807,17197,978
July 8,-,1862,17331,980
July 9,-,1920,17466,981
July 10,-,2078,17652,982
July 11,-,2298,17849,982
July 12,-,2511,18003,982
July 13,-,2779,18103,982
July 14,-,2959,18282,982
July 15,-,2982,18545,984
July 16,-,3090,18814,985
July 17,-,3400,19096,985
