Year,EU,Australia,Canada,China,Colombia,Indonesia,South Africa,Russia,USA,Other countries
2019*,307,-,-,-,1135,-,158,1846,903,201
2018,254,-,-,-,635,-,118,3761,2807,33
2017,293,-,-,-,731,-,50,2919,1452,244
2016,337,-,-,-,2667,-,98,1554,373,589
2015,526,-,-,-,6553,-,260,7080,2943,303
2014,690,-,-,78,9691,-,145,16438,8164,549
2013,1125,89,499,-,11293,-,478,19007,10998,716
2012,583,-,153,-,11749,-,546,17459,8858,272
2011,1056,-,-,-,8010,-,647,12093,4461,205
2010,881,-,-,-,6236,271,763,9166,2349,86
2009,1136,443,-,600,5233,719,3034,18414,3112,103
2008,933,699,-,-,5294,2162,4249,21193,2792,59
2007,482,535,-,170,3842,1470,7941,20185,1121,-
2006,1584,156,-,36,3883,1954,12746,22543,707,-
2005,1001,828,-,106,3369,1682,12862,16888,266,229
2004,932,2101,-,179,3610,1532,10023,9676,743,818
2003,314,1289,-,188,2974,375,12028,3400,167,4362
2002,307,761,-,200,3779,50,9948,3765,254,2830
