Month and year,Imports,Exports
May20,316.02,150.34
Apr20,459.27,135.5
Mar20,933.28,212.24
Feb20,853.16,198.98
Jan20,820.77,261.49
Dec19,907.82,194.3
Nov19,905.69,238.78
Oct19,907.06,261.04
Sep19,901.24,230.04
Aug19,1054.95,281.32
Jul19,1212.16,204.15
Jun19,976.47,203.48
May19,1027.54,209.08
Apr19,798.0,216.39
Mar19,902.29,214.05
Feb19,844.56,190.04
Jan19,1150.28,193.94
Dec18,1021.45,173.76
Nov18,918.2,208.8
Oct18,917.03,209.43
Sep18,940.81,187.48
Aug18,1014.72,201.72
Jul18,844.09,212.08
Jun18,768.15,210.69
May18,873.0,190.53
Apr18,824.16,223.2
Mar18,894.45,225.76
Feb18,736.01,209.86
Jan18,773.23,180.93
Dec17,1159.5,216.27
Nov17,985.78,233.23
Oct17,787.89,223.14
Sep17,696.74,200.39
Aug17,918.18,195.17
Jul17,872.16,194.61
Jun17,725.71,189.79
May17,717.6,225.53
Apr17,645.91,181.34
Mar17,725.17,205.04
Feb17,516.32,157.0
Jan17,617.96,172.46
