Quarter,Total,Contract,Prepaid
Q1 '20/21,12.5,17.6,4.2
Q4 '19/20,12.9,18.2,4.2
Q3 '19/20,13.0,18.2,4.2
Q2 '19/20,13.2,18.5,4.5
Q1 '19/20,13.0,18.5,4.2
Q4 '18/19,12.9,18.6,3.9
Q3 '18/19,13.2,19.1,4.2
Q2 '18/19,13.3,19.8,3.9
Q1 '18/19,12.7,19.0,3.8
Q4 '17/18,15.0,23.7,3.4
Q3 '17/18,15.4,24.5,3.6
Q2 '17/18,15.3,24.9,3.5
Q1 '17/18,14.9,24.5,3.3
Q4 '16/17,14.9,24.7,3.2
Q3 '16/17,15.2,25.1,3.4
Q2 '16/17,15.5,25.3,3.6
Q1 '16/17,15.3,25.0,3.5
Q4 '15/16,15.1,24.9,3.5
Q3 '15/16,15.3,25.4,3.4
Q2 '15/16,15.5,25.7,3.5
Q1 '15/16,15.3,25.9,3.4
Q4 '14/15,14.9,26.0,3.2
Q3 '14/15,15.1,27.1,3.2
Q2 '14/15,15.3,27.7,3.4
Q1 '14/15,15.0,27.7,3.3
Q4 '13/14,14.9,27.6,3.3
Q3 '13/14,15.3,28.2,3.6
Q2 '13/14,15.8,28.7,3.8
Q1 '13/14,15.7,28.6,3.8
Q4 '12/13,15.4,28.8,3.6
Q3 '12/13,15.3,29.4,3.7
Q2 '12/13,15.2,29.9,3.7
Q1 '12/13,14.9,29.9,3.5
Q4 '11/12,14.3,29.7,3.3
Q3 '11/12,14.4,30.1,3.5
Q2 '11/12,14.7,30.2,3.7
