state of Brazil,Private security,Outsourced private security
São Paulo,586,551
Minas Gerais,180,168
Rio de Janeiro,232,102
Rio Grande do Sul,177,137
Paraná,202,81
Santa Catarina,143,110
Pernambuco,88,154
Ceará,87,147
Bahia,176,53
Goiás,111,69
Pará,85,83
Distrito Federal,74,22
Maranhão,63,32
Piauí,34,60
Mato Grosso,60,23
Mato Grosso do Sul,49,34
Paraíba,49,31
Alagoas,25,51
Rio Grande do Norte,41,34
Espírito Santo,49,20
Rondônia,24,38
Amazonas,36,25
Sergipe,27,11
Tocantins,23,14
Acre,16,19
Amapá,18,4
Roraima,6,0
